playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Heavy Nova (Bonus Tracks Version),spotify:album:0GpLCi7mAAflASQlR26oib,Robert Palmer,spotify:artist:530Sdm7eqqzWBdDmILMgnu,1,254293,Simply Irresistible,52,false,spotify:track:7mmhMfqs3knRMMlvnMPTHn,https://api.spotify.com/v1/tracks/7mmhMfqs3knRMMlvnMPTHn
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Dirty Dancing (Original Motion Picture Soundtrack),spotify:album:0mtLFaQ3hL371jsNraRo9g,Bill Medley,spotify:artist:1XE70WwxhnrXNAJYQQ9ygx,1,290333,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",65,false,spotify:track:6W7ztLBiRzBN46ZaPAcQ0F,https://api.spotify.com/v1/tracks/6W7ztLBiRzBN46ZaPAcQ0F
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Dirty Dancing (Original Motion Picture Soundtrack),spotify:album:0mtLFaQ3hL371jsNraRo9g,Jennifer Warnes,spotify:artist:1BwHztAQKypBuy5WBEdJnG,1,290333,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",65,false,spotify:track:6W7ztLBiRzBN46ZaPAcQ0F,https://api.spotify.com/v1/tracks/6W7ztLBiRzBN46ZaPAcQ0F
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,"The Epic Archive, Vol. 3 (1984-1992)",spotify:album:34d2gDwIXT3LjVZpGxWLM6,Cheap Trick,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,1,281693,The Flame - Single Version,50,false,spotify:track:1pKubpcbRCOLY4wbvSDqzt,https://api.spotify.com/v1/tracks/1pKubpcbRCOLY4wbvSDqzt
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,The Very Best of Billy Ocean,spotify:album:7n4OT3zEZaEiyKKd6mFAhi,Billy Ocean,spotify:artist:5IDs1CK15HegSAhGEbSYXo,1,284373,"Get Outta My Dreams, Get Into My Car",63,false,spotify:track:2D4D3hiOf5U0W6SvJoCQph,https://api.spotify.com/v1/tracks/2D4D3hiOf5U0W6SvJoCQph
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Whenever You Need Somebody,spotify:album:6N9PS4QXF1D0OWPk0Sxtb4,Rick Astley,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,1,213573,Never Gonna Give You Up,77,false,spotify:track:4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/tracks/4uLU6hMCjMI75M1A2tKUQC
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,The First Of A Million Kisses,spotify:album:62mLQgDQRUFS65hQZcsKhs,Fairground Attraction,spotify:artist:1sAkg8871iPVI0wPbOfIZa,1,216573,Perfect,52,false,spotify:track:29KiGwvYBw6JGQWrAlLhGg,https://api.spotify.com/v1/tracks/29KiGwvYBw6JGQWrAlLhGg
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Kylie,spotify:album:5bwtR8I9eFLsOU9WWNlw5b,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,1,204893,I Should Be so Lucky,35,false,spotify:track:28PaUaK6GLb0AcnOBdfyTs,https://api.spotify.com/v1/tracks/28PaUaK6GLb0AcnOBdfyTs
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Good Morning Vietnam (The Original Motion Picture Soundtrack),spotify:album:2BTYu6GDgMSBJLGI6ZIKbA,Louis Armstrong,spotify:artist:19eLuQmk9aCobbVDHc6eek,1,136573,What A Wonderful World,29,false,spotify:track:4Z7bcUn4gxwPgIItNQv8l1,https://api.spotify.com/v1/tracks/4Z7bcUn4gxwPgIItNQv8l1
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Temple Of Low Men,spotify:album:7t38G4SGphJox2lCAAZo2m,Crowded House,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,1,187666,Better Be Home Soon,63,false,spotify:track:4ZYCwq1EMPY5zZt195ARWg,https://api.spotify.com/v1/tracks/4ZYCwq1EMPY5zZt195ARWg
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Heaven on Earth (30th Anniversary Edition),spotify:album:1VYkfV4PRlLFZ0sQOaAtxQ,Belinda Carlisle,spotify:artist:7xkAwz0bQTGDSbkofyQt3U,1,245720,Heaven is a Place on Earth,52,false,spotify:track:38OuAEtETQMXayoC18tLKe,https://api.spotify.com/v1/tracks/38OuAEtETQMXayoC18tLKe
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,Age Of Reason,spotify:album:4JHZh7UHLQxcdH0qQB757v,John Farnham,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,1,306266,Age of Reason,38,false,spotify:track:28mMAnwzlHLVMDz77jEDRM,https://api.spotify.com/v1/tracks/28mMAnwzlHLVMDz77jEDRM
