playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,1,177000,HUMBLE.,82,true,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Go Farther In Lightness,spotify:album:0leVOEw8L2TnAfLGwkFnab,Gang of Youths,spotify:artist:142YBUGmLWCJigFLzgguf8,1,319346,Let Me Down Easy,63,true,spotify:track:7DPQwyMQADl9Y8oSvSVpfg,https://api.spotify.com/v1/tracks/7DPQwyMQADl9Y8oSvSVpfg
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Snow,spotify:album:1D7wVgT1HGxwLGqSnLf0lg,Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,1,273533,Chateau,61,false,spotify:track:1LIbTjMdFP15jIXGkcICSU,https://api.spotify.com/v1/tracks/1LIbTjMdFP15jIXGkcICSU
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Everything Is Forgotten,spotify:album:2dS7vbBMyWi2GEqDPlPyKf,Methyl Ethel,spotify:artist:3I3Fz1DeUY0icXFvOjbXm7,1,302786,Ubu,54,false,spotify:track:6TAxNHUFD5nbP9pMXlONES,https://api.spotify.com/v1/tracks/6TAxNHUFD5nbP9pMXlONES
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Go Farther In Lightness,spotify:album:0leVOEw8L2TnAfLGwkFnab,Gang of Youths,spotify:artist:142YBUGmLWCJigFLzgguf8,1,351613,"The Deepest Sighs, the Frankest Shadows",55,true,spotify:track:5Q5o0jX8RwrHRdLYQkg6BA,https://api.spotify.com/v1/tracks/5Q5o0jX8RwrHRdLYQkg6BA
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Melodrama,spotify:album:2B87zXm9bOWvAJdkJBTpzF,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,1,234652,Green Light,73,false,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,https://api.spotify.com/v1/tracks/6ie2Bw3xLj2JcGowOlcMhb
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Go Bang,spotify:album:77IRV9kLxVjnTiIe2jGi5u,PNAU,spotify:artist:6n28c9qs9hNGriNa72b26u,1,189092,Go Bang,58,false,spotify:track:2C2qFFatDW73ZOSMZASyft,https://api.spotify.com/v1/tracks/2C2qFFatDW73ZOSMZASyft
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Everyone We Know,spotify:album:5wM74edoHDYEhzHvkSnKeN,Thundamentals,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,1,226560,Sally,58,false,spotify:track:6POjRllkbgAEnLIhIFlI7j,https://api.spotify.com/v1/tracks/6POjRllkbgAEnLIhIFlI7j
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Everyone We Know,spotify:album:5wM74edoHDYEhzHvkSnKeN,Mataya,spotify:artist:6JW55AQgf9M9SZgzZou2NQ,1,226560,Sally,58,false,spotify:track:6POjRllkbgAEnLIhIFlI7j,https://api.spotify.com/v1/tracks/6POjRllkbgAEnLIhIFlI7j
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Nation of Two,spotify:album:3S9ZdKgCTuobkoIWUK2gH0,Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT,1,215493,Lay It On Me,0,false,spotify:track:7pIO6C4Nvq7OBGrvK5dJdP,https://api.spotify.com/v1/tracks/7pIO6C4Nvq7OBGrvK5dJdP
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Go Farther In Lightness,spotify:album:0leVOEw8L2TnAfLGwkFnab,Gang of Youths,spotify:artist:142YBUGmLWCJigFLzgguf8,1,295506,What Can I Do If the Fire Goes Out?,53,false,spotify:track:0dgXDPDvQNPKUYNR3KZeHS,https://api.spotify.com/v1/tracks/0dgXDPDvQNPKUYNR3KZeHS
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,SATURATION II,spotify:album:0XnqQzdSFAml08XZoRt1St,BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,1,274274,SWEET,67,true,spotify:track:2DgMxFMUQRPthW4ROhjen1,https://api.spotify.com/v1/tracks/2DgMxFMUQRPthW4ROhjen1
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Fake Magic,spotify:album:3YSm8I96IK40ovnp56h0Mh,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,167058,Fake Magic,55,false,spotify:track:0lvXfUug5YmOHOyHgXufqF,https://api.spotify.com/v1/tracks/0lvXfUug5YmOHOyHgXufqF
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Fake Magic,spotify:album:3YSm8I96IK40ovnp56h0Mh,AlunaGeorge,spotify:artist:2VAnyOxzJuSAj7XIuEOT38,1,167058,Fake Magic,55,false,spotify:track:0lvXfUug5YmOHOyHgXufqF,https://api.spotify.com/v1/tracks/0lvXfUug5YmOHOyHgXufqF
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,American Teen,spotify:album:6kf46HbnYCZzP6rjvQHYzg,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,1,202546,Young Dumb & Broke,81,false,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Melodrama,spotify:album:2B87zXm9bOWvAJdkJBTpzF,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,1,189796,Homemade Dynamite,59,true,spotify:track:02oAUzv4M0ItuTDy2RT3IT,https://api.spotify.com/v1/tracks/02oAUzv4M0ItuTDy2RT3IT
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Perennial,spotify:album:735RlBqveqycIrQgyld7JK,Vera Blue,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,1,208146,Regular Touch,58,false,spotify:track:2qiYw6eNM2rwv2vgtzH5o5,https://api.spotify.com/v1/tracks/2qiYw6eNM2rwv2vgtzH5o5
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Quiet Ferocity,spotify:album:0RSKnjggldZx2NrKSOD913,The Jungle Giants,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,1,205146,Feel the Way I Do,60,false,spotify:track:0TVwMTKyuSp41ytctKTA3T,https://api.spotify.com/v1/tracks/0TVwMTKyuSp41ytctKTA3T
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Marryuna,spotify:album:2ug6AzacFEzdKRd0AjhJgY,Baker Boy,spotify:artist:6Qpa8xhGsGitz4WBf4BkpK,1,194243,Marryuna,42,false,spotify:track:6Bvd7iV8XrYpVSFAE6nsIR,https://api.spotify.com/v1/tracks/6Bvd7iV8XrYpVSFAE6nsIR
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Marryuna,spotify:album:2ug6AzacFEzdKRd0AjhJgY,Yirrmal,spotify:artist:4rHLbr6edktdv6RnVrf0Y7,1,194243,Marryuna,42,false,spotify:track:6Bvd7iV8XrYpVSFAE6nsIR,https://api.spotify.com/v1/tracks/6Bvd7iV8XrYpVSFAE6nsIR
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,GOOD MOOD,spotify:album:6vlcfWk6eOpiJASyyLP80j,Ball Park Music,spotify:artist:1ououJVWgWsHWMYDLvT7sH,1,216379,Exactly How You Are,22,true,spotify:track:17jyLGlgZppynYukOQlN5n,https://api.spotify.com/v1/tracks/17jyLGlgZppynYukOQlN5n
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Wonderful Wonderful,spotify:album:72ZfMxLCPG8mlWC0TXfZQi,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,1,250093,The Man,66,false,spotify:track:5aWhs651KYM26HYM16kRdk,https://api.spotify.com/v1/tracks/5aWhs651KYM26HYM16kRdk
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Let You Down,spotify:album:4Tv2qFKD6SjJNBLIjpPFJf,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,218853,Let You Down,50,true,spotify:track:2MK8xQVIFA81r32V4E1MkT,https://api.spotify.com/v1/tracks/2MK8xQVIFA81r32V4E1MkT
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Let You Down,spotify:album:4Tv2qFKD6SjJNBLIjpPFJf,Icona Pop,spotify:artist:1VBflYyxBhnDc9uVib98rw,1,218853,Let You Down,50,true,spotify:track:2MK8xQVIFA81r32V4E1MkT,https://api.spotify.com/v1/tracks/2MK8xQVIFA81r32V4E1MkT
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,More Scared Of You Than You Are Of Me,spotify:album:7m8E0KaWSYwNV4v3i2SoNf,The Smith Street Band,spotify:artist:6DW1Yqi5B34jRtn9hPLvFp,1,213466,Birthdays,39,true,spotify:track:1dHf2xLj9tE7djykuCRziW,https://api.spotify.com/v1/tracks/1dHf2xLj9tE7djykuCRziW
