playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Only By The Night,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1,203346,Sex on Fire,80,false,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Oracular Spectacular,spotify:album:6mm1Skz3JE6AXneya9Nyiv,MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,1,229640,Electric Feel,78,false,spotify:track:3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Only By The Night,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1,230760,Use Somebody,76,false,spotify:track:5VGlqQANWDKJFl0MBG3sg2,https://api.spotify.com/v1/tracks/5VGlqQANWDKJFl0MBG3sg2
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Walking On A Dream (Special Edition),spotify:album:1GoqBRUPZzBKvMKZxSQ1mp,Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c,1,198440,Walking On A Dream,62,false,spotify:track:6A6qBFJHid4WutQu6HHEZt,https://api.spotify.com/v1/tracks/6A6qBFJHid4WutQu6HHEZt
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Oracular Spectacular,spotify:album:6mm1Skz3JE6AXneya9Nyiv,MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,1,302840,Kids,78,false,spotify:track:1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Apocalypso,spotify:album:66pf8wl3g8BHOdoJtzKCWN,The Presets,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,1,221066,Talk Like That,32,false,spotify:track:1PIP9m6Y66fJ82QlNCpXjT,https://api.spotify.com/v1/tracks/1PIP9m6Y66fJ82QlNCpXjT
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,A Mind Of My Own,spotify:album:5HO3cUtiu2Ei9Esvgd0OcJ,PEZ,spotify:artist:0nqejKHUiWWMRltB0Cx5xq,1,261573,The Festival Song,53,true,spotify:track:0pvZzCtR3o8t03T5LDnp6G,https://api.spotify.com/v1/tracks/0pvZzCtR3o8t03T5LDnp6G
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,A Mind Of My Own,spotify:album:5HO3cUtiu2Ei9Esvgd0OcJ,360,spotify:artist:3vn7rk7VNMfDhuZNB9sDYP,1,261573,The Festival Song,53,true,spotify:track:0pvZzCtR3o8t03T5LDnp6G,https://api.spotify.com/v1/tracks/0pvZzCtR3o8t03T5LDnp6G
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,A Mind Of My Own,spotify:album:5HO3cUtiu2Ei9Esvgd0OcJ,Hailey Cramer,spotify:artist:6NVS6uXm4d3mbKIniM6IfO,1,261573,The Festival Song,53,true,spotify:track:0pvZzCtR3o8t03T5LDnp6G,https://api.spotify.com/v1/tracks/0pvZzCtR3o8t03T5LDnp6G
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Apocalypso,spotify:album:66pf8wl3g8BHOdoJtzKCWN,The Presets,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,1,250546,This Boys In Love,35,false,spotify:track:5x08BNGm8HMO0L7r0jbkPr,https://api.spotify.com/v1/tracks/5x08BNGm8HMO0L7r0jbkPr
