playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Just As I Am,spotify:album:5e055E2MQy4SspHknPO3Km,Guy Sebastian,spotify:artist:5PjekOABtfU2Kwo0AHVmci,1,239306,Angels Brought Me Here,55,false,spotify:track:6lzIABwQGhMa3Xbspb098s,https://api.spotify.com/v1/tracks/6lzIABwQGhMa3Xbspb098s
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,8 Mile,spotify:album:3tqMfEzuD62nMEXALuxv6r,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,1,320293,Lose Yourself,13,true,spotify:track:1MWlCmgxuLIe4izcR62xBE,https://api.spotify.com/v1/tracks/1MWlCmgxuLIe4izcR62xBE
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,00s Mixtape,spotify:album:2R7nSAPTn5Xpb9UAEC3oI9,Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,1,272852,Where Is The Love?,37,false,spotify:track:4gSfKvsTytaKWSml01I48E,https://api.spotify.com/v1/tracks/4gSfKvsTytaKWSml01I48E
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Innocent Eyes,spotify:album:26h1O5W89WLiEzxTztbGfu,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,251280,Born to Try,53,false,spotify:track:2iWyrSHvs6qhFzfpiLAK0z,https://api.spotify.com/v1/tracks/2iWyrSHvs6qhFzfpiLAK0z
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Get Rich Or Die Tryin',spotify:album:5G5rgQHzdQnw32SI0WjIo5,50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,1,193466,In Da Club,78,true,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Fallen,spotify:album:02w1xMzzdF2OJxTeh1basm,Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,1,235893,Bring Me To Life,79,false,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Innocent Eyes,spotify:album:26h1O5W89WLiEzxTztbGfu,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,248546,Lost Without You,52,false,spotify:track:1w0JL6vJdl82xqyRW30HrK,https://api.spotify.com/v1/tracks/1w0JL6vJdl82xqyRW30HrK
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Hijas del Tomate,spotify:album:5Fs94v1xXPl8Q1mTMWMTLO,Las Ketchup,spotify:artist:1e8GEl48ktvfDpruMKB6Oe,1,213973,The Ketchup Song (Aserejé) - Spanglish Version,66,false,spotify:track:6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/tracks/6UEfyhyfhYQsyipxOd95Ie
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Nu Flow,spotify:album:3FjVjhMF7tI5uOLwc0KhR8,Big Brovaz,spotify:artist:0tTPYQGpkJ49RMbtCOQfDY,1,201480,Nu Flow,39,false,spotify:track:3e4wCtTSt83Cu2hFVioW4f,https://api.spotify.com/v1/tracks/3e4wCtTSt83Cu2hFVioW4f
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Chocolate Factory,spotify:album:35Ea7OWXZPZB1vAPiaEGOM,R. Kelly,spotify:artist:2mxe0TnaNL039ysAj51xPQ,1,186066,Ignition - Remix,70,false,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,This Is Me...Then,spotify:album:1l8TpRDfjJjKdtbzNtSycM,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,1,254466,All I Have (feat. LL Cool J),59,false,spotify:track:2xlnEhQjSCqNPIJX42ARej,https://api.spotify.com/v1/tracks/2xlnEhQjSCqNPIJX42ARej
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,This Is Me...Then,spotify:album:1l8TpRDfjJjKdtbzNtSycM,LL Cool J,spotify:artist:1P8IfcNKwrkQP5xJWuhaOC,1,254466,All I Have (feat. LL Cool J),59,false,spotify:track:2xlnEhQjSCqNPIJX42ARej,https://api.spotify.com/v1/tracks/2xlnEhQjSCqNPIJX42ARej
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Simply Deep,spotify:album:3nrQeLjGJNdYsjJ8JVPKAf,Kelly Rowland,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,1,249293,Stole,52,false,spotify:track:4CTX9iU2a0Q9vM2T4YMUQL,https://api.spotify.com/v1/tracks/4CTX9iU2a0Q9vM2T4YMUQL
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Angel,spotify:album:3CD4hrOqlolP5zNmhVljAU,Amanda Perez,spotify:artist:5DqmNLPM1kAbSBQk2FMm6b,1,218760,Angel,50,false,spotify:track:2T4rXDppGlcy2lLuF4IyHq,https://api.spotify.com/v1/tracks/2T4rXDppGlcy2lLuF4IyHq
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,200 KM/H In The Wrong Lane (10th Anniversary Edition),spotify:album:4vyPN44zoiJXE6hruCCrGB,t.A.T.u.,spotify:artist:2Q3eZMfDQgT8MhPowKFXYO,1,214440,All The Things She Said,72,true,spotify:track:4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/tracks/4bJygwUKrRgq1stlNXcgMg
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Hard Candy,spotify:album:4ZY9wbPTIFpX5IdFemqIyZ,Counting Crows,spotify:artist:0vEsuISMWAKNctLlUAhSZC,1,226826,Big Yellow Taxi,60,false,spotify:track:5fztgDIt1Nq32VHJrAHq0Y,https://api.spotify.com/v1/tracks/5fztgDIt1Nq32VHJrAHq0Y
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Hard Candy,spotify:album:4ZY9wbPTIFpX5IdFemqIyZ,Vanessa Carlton,spotify:artist:5ILrArfIV0tMURcHJN8Q07,1,226826,Big Yellow Taxi,60,false,spotify:track:5fztgDIt1Nq32VHJrAHq0Y,https://api.spotify.com/v1/tracks/5fztgDIt1Nq32VHJrAHq0Y
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,The Blueprint 2 The Gift & The Curse,spotify:album:5xHStEOG8PsbzNQb7LkxZU,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,1,205560,03' Bonnie & Clyde,65,true,spotify:track:5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/tracks/5ljCWsDlSyJ41kwqym2ORw
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,The Blueprint 2 The Gift & The Curse,spotify:album:5xHStEOG8PsbzNQb7LkxZU,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,1,205560,03' Bonnie & Clyde,65,true,spotify:track:5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/tracks/5ljCWsDlSyJ41kwqym2ORw
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Innocent Eyes,spotify:album:26h1O5W89WLiEzxTztbGfu,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,218933,Predictable,38,false,spotify:track:12VzulX6U34ea0LXm6zGGf,https://api.spotify.com/v1/tracks/12VzulX6U34ea0LXm6zGGf
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Innocent Eyes,spotify:album:26h1O5W89WLiEzxTztbGfu,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,233693,Innocent Eyes,41,false,spotify:track:4g1mUYce5ljbbacvCfAQVQ,https://api.spotify.com/v1/tracks/4g1mUYce5ljbbacvCfAQVQ
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Shut Up,spotify:album:01qJHNy9Tig8uEp8JfcIrv,Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,1,310093,Shut Up,31,false,spotify:track:0koYRm9MYr86fdKyaBuSiG,https://api.spotify.com/v1/tracks/0koYRm9MYr86fdKyaBuSiG
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Innocent Eyes,spotify:album:26h1O5W89WLiEzxTztbGfu,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,265453,"Not Me, Not I",40,false,spotify:track:3WKf8HqNlAP1X3PZkw663E,https://api.spotify.com/v1/tracks/3WKf8HqNlAP1X3PZkw663E
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Shake Ya Tailfeather,spotify:album:6rJ2zgIy1gisopTvlB0B3G,Murphy Lee,spotify:artist:07W0YfsvHM7Mw7Bq48Mb0A,1,298613,Shake Ya Tailfeather - Main,0,true,spotify:track:0mJDmP1zwifmzxbocMkGHx,https://api.spotify.com/v1/tracks/0mJDmP1zwifmzxbocMkGHx
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Shake Ya Tailfeather,spotify:album:6rJ2zgIy1gisopTvlB0B3G,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,1,298613,Shake Ya Tailfeather - Main,0,true,spotify:track:0mJDmP1zwifmzxbocMkGHx,https://api.spotify.com/v1/tracks/0mJDmP1zwifmzxbocMkGHx
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Shake Ya Tailfeather,spotify:album:6rJ2zgIy1gisopTvlB0B3G,Diddy,spotify:artist:59wfkuBoNyhDMQGCljbUbA,1,298613,Shake Ya Tailfeather - Main,0,true,spotify:track:0mJDmP1zwifmzxbocMkGHx,https://api.spotify.com/v1/tracks/0mJDmP1zwifmzxbocMkGHx
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,Hey Sexy Lady,spotify:album:3WcxLO2mAMzHrK5gZk0q4e,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,1,201053,Hey Sexy Lady,10,false,spotify:track:1MdcxpCpHJ4O9TBA6BJY3y,https://api.spotify.com/v1/tracks/1MdcxpCpHJ4O9TBA6BJY3y
