playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Get Born (Deluxe Edition),spotify:album:7vCEk05cCBjn93wzoH5ZrK,Jet,spotify:artist:5ypxebeHEIXjMtJb17uJlI,1,213800,Are You Gonna Be My Girl,0,false,spotify:track:7ujLqLwxtHvgoGCSOhBj69,https://api.spotify.com/v1/tracks/7ujLqLwxtHvgoGCSOhBj69
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Speakerboxxx/The Love Below,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r,OutKast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,2,235213,Hey Ya! - Radio Mix,78,false,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Elephant,spotify:album:4bud6XY9UtafCOiYzv2vOl,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,1,231920,Seven Nation Army,77,false,spotify:track:47wPvRG8FEwbZP22UBgTQr,https://api.spotify.com/v1/tracks/47wPvRG8FEwbZP22UBgTQr
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Vulture Street,spotify:album:11lnp34TFhwc0274mF7YaZ,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,200440,(Baby I've Got You) On My Mind,57,false,spotify:track:1Vb0sEHboCBthv6fUqLjME,https://api.spotify.com/v1/tracks/1Vb0sEHboCBthv6fUqLjME
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,12 Inch Dance: Indie,spotify:album:7CZVSBRMUOZiXJbZIlzCNJ,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,1,344533,Clocks - Royksopp Trembling Heart Mix,0,false,spotify:track:274V8o0fvSbZn7RIf4CRES,https://api.spotify.com/v1/tracks/274V8o0fvSbZn7RIf4CRES
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,The Cat Empire,spotify:album:7H3Bgvb3hs4vvLwccHDRlr,The Cat Empire,spotify:artist:023YMawCG3OvACmRjWxLWC,1,224133,Hello,53,false,spotify:track:1pXtUVmSS3Aky3j6nQ4sQT,https://api.spotify.com/v1/tracks/1pXtUVmSS3Aky3j6nQ4sQT
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Vulture Street,spotify:album:11lnp34TFhwc0274mF7YaZ,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,229333,Sunsets,58,false,spotify:track:1dXFZeIjgDJ8sAc1csFNY2,https://api.spotify.com/v1/tracks/1dXFZeIjgDJ8sAc1csFNY2
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Sunrise Over Sea,spotify:album:4Plc6eI1zbCMTawqZTxwgz,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,237626,Zebra,53,false,spotify:track:7IahivnWF9l1W8DSBQe3Xv,https://api.spotify.com/v1/tracks/7IahivnWF9l1W8DSBQe3Xv
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,The Calling,spotify:album:4dz3QzzqKVwz3WRZZmodq9,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,219640,The Nosebleed Section,61,true,spotify:track:7aZiDdufBX2Ek8OUuxK0IQ,https://api.spotify.com/v1/tracks/7aZiDdufBX2Ek8OUuxK0IQ
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Vulture Street,spotify:album:11lnp34TFhwc0274mF7YaZ,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,271173,Love Your Way,52,false,spotify:track:2lksJ7oUYRD3BgH0uix9gy,https://api.spotify.com/v1/tracks/2lksJ7oUYRD3BgH0uix9gy
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,The Official Fiction (Deluxe Edition),spotify:album:0sHkhrwS3BKXs8cheVnkHK,Something For Kate,spotify:artist:47yawJswuSfSvizYhItoOP,1,265973,Déjà vu,37,false,spotify:track:1AxEbZ9YeiU7GwxO2cClea,https://api.spotify.com/v1/tracks/1AxEbZ9YeiU7GwxO2cClea
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Up All Night,spotify:album:0ekOI8LYqNwEBWlzTwXp9n,The Waifs,spotify:artist:5uKeKhwXi2w5cXdtoSaqjz,1,201706,Lighthouse,45,false,spotify:track:54aDjRpdM3EQUEkFolmsAP,https://api.spotify.com/v1/tracks/54aDjRpdM3EQUEkFolmsAP
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Welcome To The Monkey House,spotify:album:2SS8nVmmgJqJhRuYGboIOx,The Dandy Warhols,spotify:artist:7siPLyFwRFYQkKgWKJ5Sod,1,199960,We Used To Be Friends,55,false,spotify:track:7hpFYWL3cw5m4y70cce7Zb,https://api.spotify.com/v1/tracks/7hpFYWL3cw5m4y70cce7Zb
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Elephant,spotify:album:4bud6XY9UtafCOiYzv2vOl,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,1,212320,The Hardest Button to Button,59,false,spotify:track:1PnuVfURSyhhOI2NCXTLSF,https://api.spotify.com/v1/tracks/1PnuVfURSyhhOI2NCXTLSF
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Breakfast At Fatboys,spotify:album:2VOmXWnuGopKVRVzmpYcyl,Butterfingers,spotify:artist:14ERybNQCYthuN4NHM5uVe,1,252933,I Love Work,40,true,spotify:track:6vQJrU2AxoRRgkzIeH8zo1,https://api.spotify.com/v1/tracks/6vQJrU2AxoRRgkzIeH8zo1
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Little Birdy EP,spotify:album:5ooGD5EEPG9eXFutudj9wT,Little Birdy,spotify:artist:3h18aXqdmm2F13t6LIbTpq,1,216760,Relapse,10,false,spotify:track:1K0ihm5W5ji1kEOnFkk0To,https://api.spotify.com/v1/tracks/1K0ihm5W5ji1kEOnFkk0To
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,On And On,spotify:album:7LQhG0xSDjFiKJnziyB3Zj,Jack Johnson,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,1,239280,Taylor,60,false,spotify:track:1J4YoubtTxLuoKBzRIzHvv,https://api.spotify.com/v1/tracks/1J4YoubtTxLuoKBzRIzHvv
