playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6N0O3KZi22V9miAwpBwALf,(What's The Story) Morning Glory? [Remastered],spotify:album:1VW1MFNstaJuygaoTPkdCk,Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,1,258773,Wonderwall - Remastered,78,false,spotify:track:5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/tracks/5qqabIl2vWzo9ApSC317sa
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Mellon Collie And The Infinite Sadness (Deluxe Edition),spotify:album:55RhFRyQFihIyGf61MgcfV,The Smashing Pumpkins,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,1,258466,Bullet With Butterfly Wings - Remastered 2012,71,false,spotify:track:6GtX0jaNL8IjVQfrDBx81z,https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Gangsta's Paradise,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,Coolio,spotify:artist:3y24n3XhZ96wgwRXjvS17T,1,240693,Gangsta's Paradise,81,false,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Gangsta's Paradise,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,L.V.,spotify:artist:2LhsePRtgCo4THVKULQBL7,1,240693,Gangsta's Paradise,81,false,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:6N0O3KZi22V9miAwpBwALf,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,spotify:album:5xxeAo8AVneH1OKO5vR604,The Presidents Of The United States Of America,spotify:artist:1lZvg4fNAqHoj6I9N8naBM,1,203133,Kitty,48,false,spotify:track:4WamMWxFi6ts3xkIhivF5c,https://api.spotify.com/v1/tracks/4WamMWxFi6ts3xkIhivF5c
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Post,spotify:album:3p7WXDBxhC5KS9IFXnwae7,Björk,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,1,218733,It's Oh So Quiet,58,false,spotify:track:3CMVjlbvNJMHDfYPX7xCpi,https://api.spotify.com/v1/tracks/3CMVjlbvNJMHDfYPX7xCpi
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Sparkle And Fade,spotify:album:27qNa5ef0TpYV17dBY01U0,Everclear,spotify:artist:694QW15WkebjcrWgQHzRYF,1,143400,Heroin Girl,44,false,spotify:track:3y6aldPuiRmCzamj6pivBM,https://api.spotify.com/v1/tracks/3y6aldPuiRmCzamj6pivBM
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Wisenheimer,spotify:album:0PxOcepqmZ3LTzl0PNx8GL,Custard,spotify:artist:09NEIWHdaWneBWsjYdDnwz,1,143560,Apartment,40,false,spotify:track:2WheuVAKcZsQOZREbYtMvm,https://api.spotify.com/v1/tracks/2WheuVAKcZsQOZREbYtMvm
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Murder Ballads (2011 Remastered Version),spotify:album:0SJIg249cRWdGWEcqXsYyW,Nick Cave & The Bad Seeds,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,1,237080,Where the Wild Roses Grow - 2011 - Remaster,60,false,spotify:track:3OwtuzRo8mc7lgsBau9MWk,https://api.spotify.com/v1/tracks/3OwtuzRo8mc7lgsBau9MWk
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Murder Ballads (2011 Remastered Version),spotify:album:0SJIg249cRWdGWEcqXsYyW,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,1,237080,Where the Wild Roses Grow - 2011 - Remaster,60,false,spotify:track:3OwtuzRo8mc7lgsBau9MWk,https://api.spotify.com/v1/tracks/3OwtuzRo8mc7lgsBau9MWk
