playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Mail on Sunday,spotify:album:5j1wrOAOm5KFd17pPiSvle,Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,1,231400,Low (feat. T-Pain),80,false,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Mail on Sunday,spotify:album:5j1wrOAOm5KFd17pPiSvle,T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy,1,231400,Low (feat. T-Pain),80,false,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Funhouse,spotify:album:21tsMIrRLUKFwfvX9oxQZR,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,1,215160,So What,50,true,spotify:track:49KhRYxcukqBtmeSy44s2B,https://api.spotify.com/v1/tracks/49KhRYxcukqBtmeSy44s2B
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Lessons To Be Learned,spotify:album:2bzrqa24r4wN3axFTBydM2,Gabriella Cilmi,spotify:artist:5v2GEv1pQaCp6oeOQROdKE,1,202573,Sweet About Me,7,false,spotify:track:7bV3mzlyEXz6xepVunU02D,https://api.spotify.com/v1/tracks/7bV3mzlyEXz6xepVunU02D
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Spirit,spotify:album:0VaAFegRAAn4OCg7p4QjN5,Leona Lewis,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm,1,262466,Bleeding Love,77,false,spotify:track:7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Only By The Night,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1,203346,Sex on Fire,80,false,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,One Of The Boys,spotify:album:1vFFZPioAu0vrJRcGoyGX8,Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,1,179640,I Kissed A Girl,57,false,spotify:track:25ZttbpeUKDOm3aghD2oBJ,https://api.spotify.com/v1/tracks/25ZttbpeUKDOm3aghD2oBJ
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,The Fame,spotify:album:1qwlxZTNLe1jq3b0iidlue,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,1,241933,Just Dance,74,false,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,https://api.spotify.com/v1/tracks/1dzQoRqT5ucxXVaAhTcT0J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,The Fame,spotify:album:1qwlxZTNLe1jq3b0iidlue,Colby O'Donis,spotify:artist:7fObcBw9VM3x7ntWKCYl0z,1,241933,Just Dance,74,false,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,https://api.spotify.com/v1/tracks/1dzQoRqT5ucxXVaAhTcT0J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,Jordin Sparks,spotify:album:6JCNOvp9UeMrFuXwNW0JW6,Jordin Sparks,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,1,264373,No Air (feat. Chris Brown),74,false,spotify:track:1jUA4rb6ZCv4gby4YU53xq,https://api.spotify.com/v1/tracks/1jUA4rb6ZCv4gby4YU53xq
