playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,The Eminem Show,spotify:album:2cWBwpqMsDJC1ZUwz813lo,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,1,290320,Without Me,83,true,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Laundry Service,spotify:album:4DyMK9x2gnmRkRa16zHaEV,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,1,196160,"Whenever, Wherever",74,false,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,https://api.spotify.com/v1/tracks/2lnzGkdtDj5mtlcOW2yRtG
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Elvis 30 #1 Hits,spotify:album:0QVoYzGd1p8Z3ohEaM0lsc,Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,1,213240,A Little Less Conversation - JXL Radio Edit Remix,60,false,spotify:track:7FNIEfhhBlzsZFxCwI5Nwh,https://api.spotify.com/v1/tracks/7FNIEfhhBlzsZFxCwI5Nwh
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Elvis 30 #1 Hits,spotify:album:0QVoYzGd1p8Z3ohEaM0lsc,Junkie XL,spotify:artist:5svDnd8joFhbpbA3Ar0CfN,1,213240,A Little Less Conversation - JXL Radio Edit Remix,60,false,spotify:track:7FNIEfhhBlzsZFxCwI5Nwh,https://api.spotify.com/v1/tracks/7FNIEfhhBlzsZFxCwI5Nwh
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Nellyville,spotify:album:4HUUHHXBXImwksfbSPqE7q,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,1,289160,Dilemma,77,true,spotify:track:0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Nellyville,spotify:album:4HUUHHXBXImwksfbSPqE7q,Kelly Rowland,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,1,289160,Dilemma,77,true,spotify:track:0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Hijas del Tomate,spotify:album:5Fs94v1xXPl8Q1mTMWMTLO,Las Ketchup,spotify:artist:1e8GEl48ktvfDpruMKB6Oe,1,213973,The Ketchup Song (Aserejé) - Spanglish Version,66,false,spotify:track:6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/tracks/6UEfyhyfhYQsyipxOd95Ie
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Be Not Nobody,spotify:album:5e7T2qUigzt0oIr50KsOld,Vanessa Carlton,spotify:artist:5ILrArfIV0tMURcHJN8Q07,1,237493,A Thousand Miles,76,false,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Barricades & Brickwalls,spotify:album:0bc4iRe7Wh30sDfUz8aiw7,Kasey Chambers,spotify:artist:6uATIQFyydDXPc2RlLzcUE,1,199986,Not Pretty Enough,0,false,spotify:track:6sJcSe0vjMLcAEhlionL3P,https://api.spotify.com/v1/tracks/6sJcSe0vjMLcAEhlionL3P
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Let Go,spotify:album:3zXjR3y2dUWklKmmp6lEhy,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,1,244506,Complicated,78,false,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Escape,spotify:album:3DeHyfe2Da8xznvABSfIE5,Enrique Iglesias,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,1,264240,Hero,69,false,spotify:track:1PAgmT6YqGhd6zT9kN9gIo,https://api.spotify.com/v1/tracks/1PAgmT6YqGhd6zT9kN9gIo
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Footprints,spotify:album:0canrrqYujUeehzkS9sUZV,Holly Valance,spotify:artist:7gRmesSjINzb4xXApfMV5E,1,204400,Kiss Kiss,55,false,spotify:track:5TWL2K9Q9QuUTW15I6ZLpP,https://api.spotify.com/v1/tracks/5TWL2K9Q9QuUTW15I6ZLpP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Read My Lips,spotify:album:3WDbM110Rjj1ELU36QkQFr,Sophie Ellis-Bextor,spotify:artist:2cBh5lVMg222FFuRU7EfDE,1,230013,Murder On The Dancefloor,59,false,spotify:track:0ndXb2CwhrqtyHK6o6eVNd,https://api.spotify.com/v1/tracks/0ndXb2CwhrqtyHK6o6eVNd
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Laundry Service,spotify:album:4DyMK9x2gnmRkRa16zHaEV,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,1,224066,Underneath Your Clothes,65,false,spotify:track:15f8Cv8RXUlOOCIf2oaceN,https://api.spotify.com/v1/tracks/15f8Cv8RXUlOOCIf2oaceN
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,HEY BABY (uh ah),spotify:album:1sqgsObT23vgBppR9lvROl,DJ Ötzi,spotify:artist:0DR4z5jMA1eqx0CmHBUpkr,1,219240,HEY BABY - Radio Mix,58,false,spotify:track:0HNXnhNZZtRZFLhP4hfyCP,https://api.spotify.com/v1/tracks/0HNXnhNZZtRZFLhP4hfyCP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Tenacious D,spotify:album:1AckkxSo39144vOBrJ1GkS,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,1,248053,Tribute,66,true,spotify:track:6crBy2sODw2HS53xquM6us,https://api.spotify.com/v1/tracks/6crBy2sODw2HS53xquM6us
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,M!ssundaztood,spotify:album:0yaF1CrQzaPmCrt35nqGWq,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,1,191666,Get the Party Started,0,false,spotify:track:2u1hMwcB9TwziV6P7jdyxX,https://api.spotify.com/v1/tracks/2u1hMwcB9TwziV6P7jdyxX
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Nellyville,spotify:album:4HUUHHXBXImwksfbSPqE7q,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,1,228240,Hot In Herre,72,true,spotify:track:04KTF78FFg8sOHC1BADqbY,https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,Destination,spotify:album:3x1XCT7NsJOtQp7DEbPS3X,Ronan Keating,spotify:artist:3nlHsNqwCSvT988ZfSW1Yh,1,214306,If Tomorrow Never Comes,63,false,spotify:track:7tbJozWewwmFvTkXCUFtt0,https://api.spotify.com/v1/tracks/7tbJozWewwmFvTkXCUFtt0
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,The Stadium Techno Experience (20 Years Of Hardcore Expanded Edition),spotify:album:3zBz4qvjKy7J3aSOR8rrNC,Scooter,spotify:artist:0HlxL5hisLf59ETEPM3cUA,1,234055,The Logical Song (Radio Edit),37,false,spotify:track:1kYsjscGQNV581Q1Jyk1Us,https://api.spotify.com/v1/tracks/1kYsjscGQNV581Q1Jyk1Us
