playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Odyssey Number Five,spotify:album:1fgfp2op6DHKCrtWiMFiws,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,276626,My Happiness,64,false,spotify:track:2pxxVkNhrRST8fpgA12ru8,https://api.spotify.com/v1/tracks/2pxxVkNhrRST8fpgA12ru8
spotify:playlist:6SVFcvkCcVayTawCOeItNl,All That You Can't Leave Behind,spotify:album:7a5U0GPoAvT3gvEY66FRuN,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,1,248400,Beautiful Day,73,false,spotify:track:0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/tracks/0gzqZ9d1jIKo9psEIthwXe
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Odyssey Number Five,spotify:album:1fgfp2op6DHKCrtWiMFiws,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,277666,My Kind Of Scene,52,false,spotify:track:3GcvxghJMdrNH92Rp2oMtV,https://api.spotify.com/v1/tracks/3GcvxghJMdrNH92Rp2oMtV
spotify:playlist:6SVFcvkCcVayTawCOeItNl,"Songs From Dawson's Creek, Vol. II",spotify:album:187HV0h26fG3mkRsySp5Lj,Wheatus,spotify:artist:4mYFgEjpQT4IKOrjOUKyXu,1,241840,Teenage Dirtbag,70,true,spotify:track:3LI4MmibTkXH5cGpCGZgyw,https://api.spotify.com/v1/tracks/3LI4MmibTkXH5cGpCGZgyw
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Parachutes,spotify:album:6ZG5lRT77aJ3btmArcykra,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,1,266773,Yellow,82,false,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Since I Left You,spotify:album:4cSWbSVL31WoIcSBaSqyit,The Avalanches,spotify:artist:3C8RpaI3Go0yFF9whvKoED,1,288026,Frontier Psychiatrist,37,false,spotify:track:4uy6dW3p4jLk8WQ1ztwBqo,https://api.spotify.com/v1/tracks/4uy6dW3p4jLk8WQ1ztwBqo
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Californication,spotify:album:0fLhefnjlIV3pGNF9Wo8CD,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,1,329733,Californication,62,false,spotify:track:34KTEhpPjq6IAgQg2yzJAL,https://api.spotify.com/v1/tracks/34KTEhpPjq6IAgQg2yzJAL
spotify:playlist:6SVFcvkCcVayTawCOeItNl,There Is Nothing Left To Lose,spotify:album:28q2N44ocJECgf8sbHEDfY,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,1,227560,Generator,54,false,spotify:track:592nTDJAy8AucV4KKIDCmA,https://api.spotify.com/v1/tracks/592nTDJAy8AucV4KKIDCmA
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Paul Kelly's Greatest Hits: Songs From The South: Volume 1 & 2,spotify:album:2kmbLohyHyFyeIb684f6rA,Paul Kelly,spotify:artist:0SNWoGaDlrCompmg9rXeNq,2,218133,Every Fucking City,0,false,spotify:track:5UxnsvTlT6eGn8Rx2egG9X,https://api.spotify.com/v1/tracks/5UxnsvTlT6eGn8Rx2egG9X
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Thirteen Tales From Urban Bohemia,spotify:album:0vdIT4p5OlKOcEzYKSsqn4,The Dandy Warhols,spotify:artist:7siPLyFwRFYQkKgWKJ5Sod,1,211706,Bohemian Like You,66,false,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,https://api.spotify.com/v1/tracks/0yEhNqCwEfy8LHUmnZoHpP
