playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,The Greatest Hits,spotify:album:3k0gbDJ1p2nbqFNHeKVwi4,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,1,271693,"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",38,false,spotify:track:7aUCLXZ4D4UD5sCgIgxqjl,https://api.spotify.com/v1/tracks/7aUCLXZ4D4UD5sCgIgxqjl
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,The Greatest Hits,spotify:album:3bRdFxQZdU5g6VjLq8KaU7,Run–D.M.C.,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,1,250626,It's Like That,62,false,spotify:track:0CtkjgZpkgnW7U6WmHsakD,https://api.spotify.com/v1/tracks/0CtkjgZpkgnW7U6WmHsakD
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,The Greatest Hits,spotify:album:3bRdFxQZdU5g6VjLq8KaU7,Jason Nevins,spotify:artist:5w0ka9nPOmEH6CcZrutyP2,1,250626,It's Like That,62,false,spotify:track:0CtkjgZpkgnW7U6WmHsakD,https://api.spotify.com/v1/tracks/0CtkjgZpkgnW7U6WmHsakD
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Dizzy up the Girl,spotify:album:4UMjBXcRqIgMZ1XumU2x5T,The Goo Goo Dolls,spotify:artist:2sil8z5kiy4r76CRTXxBCA,1,289533,Iris,78,false,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Armageddon - The Album,spotify:album:4f7HKjBnjpMsDBDTHYV890,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,1,298760,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",76,false,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Never Ever,spotify:album:77NRIvoKQJPL1eAoUYZKOr,All Saints,spotify:artist:5TDVKqW9uhqGjwwwKGuma4,1,309853,Never Ever,44,false,spotify:track:2NtjcyTvYQXdUFdzeYyQxG,https://api.spotify.com/v1/tracks/2NtjcyTvYQXdUFdzeYyQxG
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Never Ever,spotify:album:77NRIvoKQJPL1eAoUYZKOr,Unknown,spotify:artist:7CztClnGe7oHnn1ZUAJwf5,1,309853,Never Ever,44,false,spotify:track:2NtjcyTvYQXdUFdzeYyQxG,https://api.spotify.com/v1/tracks/2NtjcyTvYQXdUFdzeYyQxG
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,From Here On In: The Singles 1997-2004,spotify:album:2AKkWY7xNytvIe7gSGP8F6,The Living End,spotify:artist:3ExT45ORJ8pT516HRZbr7G,1,234226,Prisoner Of Society (Single Version),0,false,spotify:track:2YDO9NmMDSagP2yLnZjMez,https://api.spotify.com/v1/tracks/2YDO9NmMDSagP2yLnZjMez
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Jennifer Paige,spotify:album:4OwmsF9YyOVMrPVbOcZzCz,Jennifer Paige,spotify:artist:26PDtWYDJ1KD0brukKsJH1,1,200293,Crush,0,false,spotify:track:7aOGFnnVDivtRO1PrYhx64,https://api.spotify.com/v1/tracks/7aOGFnnVDivtRO1PrYhx64
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Nimrod,spotify:album:3x2uer6Xh0d5rF8toWpRDA,Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY,1,153466,Good Riddance (Time of Your Life),75,true,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Greatest Hits,spotify:album:02SQS3hERbgOjnZc0hmWKk,Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL,1,194866,You're Still The One - Remixed/Remastered 2004,49,false,spotify:track:7FCthfxjvvXyukvP1dULIW,https://api.spotify.com/v1/tracks/7FCthfxjvvXyukvP1dULIW
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Greatest Hits,spotify:album:02SQS3hERbgOjnZc0hmWKk,Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL,1,235106,From This Moment On - Pop On-Tour Version,66,false,spotify:track:0vswnzoKvhNkT1ehc0Tt19,https://api.spotify.com/v1/tracks/0vswnzoKvhNkT1ehc0Tt19
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Postcards From Heaven,spotify:album:0yt5HBehM950wQDBIIcldi,Lighthouse Family,spotify:artist:6edGSAX5dVpeJVwu1Q0NwJ,1,308333,High,69,false,spotify:track:0AQHfKjzky28rf5ytfBANJ,https://api.spotify.com/v1/tracks/0AQHfKjzky28rf5ytfBANJ
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Love Always,spotify:album:5cmtcMzuUZq8vxS5T7NVPu,K-Ci & JoJo,spotify:artist:05RZIdfz59ZW2FvFuwnmNK,1,331240,All My Life,71,false,spotify:track:5GorFaKkP2mLREQvhSblIg,https://api.spotify.com/v1/tracks/5GorFaKkP2mLREQvhSblIg
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Ghetto Supastar,spotify:album:0bCx3zLZj4wezD07YFrLPM,Pras,spotify:artist:0kJMPTXq7h3ztpDukSx5iD,1,261133,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),67,false,spotify:track:31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Ghetto Supastar,spotify:album:0bCx3zLZj4wezD07YFrLPM,Ol' Dirty Bastard,spotify:artist:50NoVNy9GU1lCrDV8iGpyu,1,261133,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),67,false,spotify:track:31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,Ghetto Supastar,spotify:album:0bCx3zLZj4wezD07YFrLPM,Mýa,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,1,261133,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),67,false,spotify:track:31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6
