playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Grease (Deluxe Edition),spotify:album:0CbwlsDekgmAW03uMBjPBG,John Travolta,spotify:artist:4hKkEHkaqCsyxNxXEsszVH,1,168466,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",0,false,spotify:track:3Zuf70897YkrVRAsrBMMSF,https://api.spotify.com/v1/tracks/3Zuf70897YkrVRAsrBMMSF
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Grease (Deluxe Edition),spotify:album:0CbwlsDekgmAW03uMBjPBG,Olivia Newton-John,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,1,168466,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",0,false,spotify:track:3Zuf70897YkrVRAsrBMMSF,https://api.spotify.com/v1/tracks/3Zuf70897YkrVRAsrBMMSF
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,All The Best (UK Version),spotify:album:0jXLd4eGxSh8TIGEdRbdH4,Wings,spotify:artist:3sFhA6G1N0gG1pszb6kk1m,1,283626,Mull Of Kintyre,38,false,spotify:track:7t4c2dRPcikOFVODa0qlQu,https://api.spotify.com/v1/tracks/7t4c2dRPcikOFVODa0qlQu
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,The Essential Boney M.,spotify:album:3qanmly9I3vfv593JutFbB,Boney M.,spotify:artist:54R6Y0I7jGUCveDTtI21nb,1,259466,Rivers of Babylon,30,false,spotify:track:3FApzuSz5ZowxoZOH7JaHo,https://api.spotify.com/v1/tracks/3FApzuSz5ZowxoZOH7JaHo
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Greatest,spotify:album:5YHZaCxCuuK81h4Fimb9rT,Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,1,285373,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",78,false,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Disco Hits 70,spotify:album:0PJL7tRKWqRT3iLq5a44qX,Belle Epoque,spotify:artist:29r633A8MJhwlkoljEf1L0,1,175119,Black Is Black,34,false,spotify:track:3Ac2O2uVXIPWaU9aIvwRqg,https://api.spotify.com/v1/tracks/3Ac2O2uVXIPWaU9aIvwRqg
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,San Francisco Macho Man (Original Album 1978),spotify:album:6MB1ND9U8BGyiBv3zx3Zca,Village People,spotify:artist:0dCKce6tJJdHvlWnDMwzPW,1,321000,Macho Man,57,false,spotify:track:0xRDqhYsCW6F9LM4s7gY5z,https://api.spotify.com/v1/tracks/0xRDqhYsCW6F9LM4s7gY5z
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,It's a Heartache,spotify:album:5D43457Yz0FUwufF4ogvfA,Bonnie Tyler,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,2,209760,It's a Heartache,66,false,spotify:track:2pag2vElkdroT8hIO4Gozi,https://api.spotify.com/v1/tracks/2pag2vElkdroT8hIO4Gozi
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,The Very Best Of The Commodores,spotify:album:7wexfT6sZsdsrKuMaoH7Mn,Commodores,spotify:artist:6twIAGnYuIT1pncMAsXnEm,1,216400,Three Times A Lady - Single Version,41,false,spotify:track:4kaBnHk9bo1x9NlxU4Q2hG,https://api.spotify.com/v1/tracks/4kaBnHk9bo1x9NlxU4Q2hG
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Bat Out Of Hell,spotify:album:6mvI80w5r78niBmwtu7RF9,Meat Loaf,spotify:artist:7dnB1wSxbYa8CejeVg98hz,1,304440,You Took The Words Right Out of My Mouth (Hot Summer Night),57,false,spotify:track:7wawEkN4nhPqSBWleGvdxa,https://api.spotify.com/v1/tracks/7wawEkN4nhPqSBWleGvdxa
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,City to City,spotify:album:35yZZTWeSrszSKjRlFETwf,Gerry Rafferty,spotify:artist:7tjbDPvrdvDshcpEMXKRVb,1,365626,Baker Street,69,false,spotify:track:5gOd6zDC8vhlYjqbQdJVWP,https://api.spotify.com/v1/tracks/5gOd6zDC8vhlYjqbQdJVWP
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,The Kick Inside,spotify:album:5NKTuBLCYhN0OwqFiGdXd1,Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,1,269066,Wuthering Heights,69,false,spotify:track:5YSI1311X8t31PBjkBG4CZ,https://api.spotify.com/v1/tracks/5YSI1311X8t31PBjkBG4CZ
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,The Leif Garrett Collection,spotify:album:1FWTjROros7lbWXXmHKqJc,Leif Garrett,spotify:artist:2MyNAoQL07EABerr6yhoT4,1,143066,Surfin' USA,23,false,spotify:track:5vJIqByEnZmFb9dyIgBzR1,https://api.spotify.com/v1/tracks/5vJIqByEnZmFb9dyIgBzR1
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,Emotion,spotify:album:3eMoXktkFOAWgM9WsW6Zci,Samantha Sang,spotify:artist:1IvJtmPLbzpxDxfrw4rMFa,1,237293,Emotion,54,false,spotify:track:1TSehAcbBAcmZlSNMjmf6U,https://api.spotify.com/v1/tracks/1TSehAcbBAcmZlSNMjmf6U
