playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Let It Be (Remastered),spotify:album:0jTGHV5xqHPvEcwL8f6YU5,The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,1,243026,Let It Be - Remastered 2009,78,false,spotify:track:7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Close To You,spotify:album:5z8MFnoVUIfVo6MQW0uIul,Carpenters,spotify:artist:1eEfMU2AhEo7XnKgL7c304,1,273933,(They Long To Be) Close To You,66,false,spotify:track:2kyVQg00pphEufGT59M2XH,https://api.spotify.com/v1/tracks/2kyVQg00pphEufGT59M2XH
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,In the Summertime,spotify:album:1ow7YkmWVvEXo372DtmlN5,The Mixtures,spotify:artist:3uPSzsWGSzQZfihkPkAvfN,1,165733,In the Summertime,9,false,spotify:track:1TrOeFJKz1JtwnpidBd9Ly,https://api.spotify.com/v1/tracks/1TrOeFJKz1JtwnpidBd9Ly
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Spirit In The Sky,spotify:album:05qYXT9UP6pXR9u0BtntD1,Norman Greenbaum,spotify:artist:7f8LNBVXN0h35veHrpxQFL,1,242893,Spirit In The Sky,74,false,spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,https://api.spotify.com/v1/tracks/0jvN7eQJJt4nxQzgQfZ1SP
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Bridge Over Troubled Water,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,Simon & Garfunkel,spotify:artist:70cRZdQywnSFp9pnc2WTCE,1,293120,Bridge Over Troubled Water,71,false,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Cosmo's Factory,spotify:album:4GLxEXWI3JiRKp6H7bfTIK,Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd,1,152453,Lookin' Out My Back Door,68,false,spotify:track:3RTUfvRgq3pYTf7XY0FIcS,https://api.spotify.com/v1/tracks/3RTUfvRgq3pYTf7XY0FIcS
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Bridge Over Troubled Water,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,Simon & Garfunkel,spotify:artist:70cRZdQywnSFp9pnc2WTCE,1,187040,El Condor Pasa (If I Could),62,false,spotify:track:1eN42Q7IWRzRBq8eW2Y2TE,https://api.spotify.com/v1/tracks/1eN42Q7IWRzRBq8eW2Y2TE
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Cosmo's Factory,spotify:album:4GLxEXWI3JiRKp6H7bfTIK,Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd,1,161466,Up Around The Bend,70,false,spotify:track:36gPq8WG7tDxrblyGVUCiT,https://api.spotify.com/v1/tracks/36gPq8WG7tDxrblyGVUCiT
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,The Best of Liv Maessen,spotify:album:5CLLXFs9WK7hm8epc6uReX,Liv Maessen,spotify:artist:2dknbKktpuIxHJUkRjObuE,1,154333,"Knock Knock, Who's There?",15,false,spotify:track:6YZAeEUhofehAg6wwJZl5i,https://api.spotify.com/v1/tracks/6YZAeEUhofehAg6wwJZl5i
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,Johnny Farnham,spotify:album:3VpxYgNndpziZiCKslmAMY,John Farnham,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,1,151733,Raindrops Keep Fallin On My Head,25,false,spotify:track:5vKM8TPIcXDDFlo82rlCgh,https://api.spotify.com/v1/tracks/5vKM8TPIcXDDFlo82rlCgh
