playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Ultimate,spotify:album:3AUHDaXUhZimlDLFh4sTDV,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc,1,250360,(Everything I Do) I Do It For You,57,false,spotify:track:2oCYHHkzCMpVKkfaO07m5v,https://api.spotify.com/v1/tracks/2oCYHHkzCMpVKkfaO07m5v
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,The Essential Michael Jackson,spotify:album:77dNyQA0z8dV33M4so4eRY,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,2,202853,Black or White - Single Version,65,false,spotify:track:2Cy7QY8HPLk925AyNAt6OG,https://api.spotify.com/v1/tracks/2Cy7QY8HPLk925AyNAt6OG
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,I'm Too Sexy,spotify:album:40IbNNaifDIaWnySsI89E1,Right Said Fred,spotify:artist:15ajdFAi5bjj5pS9laBfBL,1,173800,"I'm Too Sexy - 7"" Mix",22,false,spotify:track:1ZTXm56gnLkA0muzVoFEkR,https://api.spotify.com/v1/tracks/1ZTXm56gnLkA0muzVoFEkR
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,The 30 Biggest Hits XXX,spotify:album:0z27R5fO6NqnZhPUiH9ykZ,Roxette,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,2,241733,Joyride - Single Version,34,false,spotify:track:1SXDpLNprOrSglEdSkTJRY,https://api.spotify.com/v1/tracks/1SXDpLNprOrSglEdSkTJRY
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Just The Hits 90s,spotify:album:2zmrplYh3J4LXpV7QJt6UB,John Travolta,spotify:artist:4hKkEHkaqCsyxNxXEsszVH,1,288613,"The Grease Mega-Mix - From ""Grease""",1,false,spotify:track:5yKFIVoOmkjV1zIrXdNoKD,https://api.spotify.com/v1/tracks/5yKFIVoOmkjV1zIrXdNoKD
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Just The Hits 90s,spotify:album:2zmrplYh3J4LXpV7QJt6UB,Olivia Newton-John,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,1,288613,"The Grease Mega-Mix - From ""Grease""",1,false,spotify:track:5yKFIVoOmkjV1zIrXdNoKD,https://api.spotify.com/v1/tracks/5yKFIVoOmkjV1zIrXdNoKD
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Just The Hits 90s,spotify:album:2zmrplYh3J4LXpV7QJt6UB,Phil Harding,spotify:artist:3O24hFMrqM3JJHDwavPz8Y,1,288613,"The Grease Mega-Mix - From ""Grease""",1,false,spotify:track:5yKFIVoOmkjV1zIrXdNoKD,https://api.spotify.com/v1/tracks/5yKFIVoOmkjV1zIrXdNoKD
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Just The Hits 90s,spotify:album:2zmrplYh3J4LXpV7QJt6UB,Ian Curnow,spotify:artist:6DcdoHUz893w7Cgojx8DeK,1,288613,"The Grease Mega-Mix - From ""Grease""",1,false,spotify:track:5yKFIVoOmkjV1zIrXdNoKD,https://api.spotify.com/v1/tracks/5yKFIVoOmkjV1zIrXdNoKD
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Read My lips,spotify:album:4t6TxxtRbqaV8aNnCIpoeZ,Melissa Tkautz,spotify:artist:64fbN3FGr1FkRhFh1AoGQA,1,226426,Read My lips,23,false,spotify:track:0H8AN0RfgU1Pa19S4BhtHQ,https://api.spotify.com/v1/tracks/0H8AN0RfgU1Pa19S4BhtHQ
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Tingles,spotify:album:71i8dKUUAArnRbrkajBLLS,Ratcat,spotify:artist:5ydii9WwX1NPG6k5lrAb6m,1,244760,That Ain't Bad,22,false,spotify:track:2YbwkDu7LATFJAuhyOBUTI,https://api.spotify.com/v1/tracks/2YbwkDu7LATFJAuhyOBUTI
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Cher's Greatest Hits: 1965-1992,spotify:album:7BwcYFAOuR2sreSCOkeReI,Cher,spotify:artist:72OaDtakiy6yFqkt4TsiFt,1,169973,The Shoop Shoop Song (It's In His Kiss),50,false,spotify:track:24hkkk7UZRHG84Jdawn4gw,https://api.spotify.com/v1/tracks/24hkkk7UZRHG84Jdawn4gw
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,The Very Best Of The Righteous Brothers - Unchained Melody,spotify:album:5CFmNamq1ceXn8RFJ9i7p6,The Righteous Brothers,spotify:artist:4b0WsB47XCa9F83BmwQ7WX,1,216266,Unchained Melody,65,false,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,Extreme II: Pornograffitti (Deluxe),spotify:album:4bQ3DhbAEU6zhWFRhDNF3r,Extreme,spotify:artist:6w7j5wQ5AI5OQYlcM15s2L,2,221160,More Than Words - Radio Edit,20,false,spotify:track:1GutTAdU10wxOwby9BVXiw,https://api.spotify.com/v1/tracks/1GutTAdU10wxOwby9BVXiw
