playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Some Gave All,spotify:album:2Rh2JyaBjJwPMFR9Dl60nV,Billy Ray Cyrus,spotify:artist:60rpJ9SgigSd16DOAG7GSa,1,203373,Achy Breaky Heart,66,false,spotify:track:2EoIt9vdgFRNW03u5IvFsQ,https://api.spotify.com/v1/tracks/2EoIt9vdgFRNW03u5IvFsQ
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Use Your Illusion I,spotify:album:0CxPbTRARqKUYighiEY9Sz,Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,1,536066,November Rain,80,false,spotify:track:3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Cooleyhighharmony (Bonus Tracks Version),spotify:album:3jknvlUSe6D9Oyn2E3JBLO,Boyz II Men,spotify:artist:6O74knDqdv3XaWtkII7Xjp,1,351466,End Of The Road,71,false,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/tracks/3l3xTXsUXeWlkPqzMs7mPD
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Lean Into It [Expanded],spotify:album:6CrjpyjlfjK95oHF6dvEnQ,Mr. Big,spotify:artist:5OfhOoKunSnuubxxRML8J3,1,210480,To Be With You - 2010 Remastered Version,71,false,spotify:track:3Mmt6Xk0H6VR92PEp6x3hP,https://api.spotify.com/v1/tracks/3Mmt6Xk0H6VR92PEp6x3hP
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Amigos Para Siempre - Friends For Life,spotify:album:38snB4JGVib5HvtkSWzZxx,Andrew Lloyd Webber,spotify:artist:4aP1lp10BRYZO658B2NwkG,1,276133,Amigos Para Siempre - Friends for Life,21,false,spotify:track:1fHusGYQNiiN9JdsJw1W15,https://api.spotify.com/v1/tracks/1fHusGYQNiiN9JdsJw1W15
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Amigos Para Siempre - Friends For Life,spotify:album:38snB4JGVib5HvtkSWzZxx,José Carreras,spotify:artist:1ahGKezyX9Rl7GuEF2tc15,1,276133,Amigos Para Siempre - Friends for Life,21,false,spotify:track:1fHusGYQNiiN9JdsJw1W15,https://api.spotify.com/v1/tracks/1fHusGYQNiiN9JdsJw1W15
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Amigos Para Siempre - Friends For Life,spotify:album:38snB4JGVib5HvtkSWzZxx,Sarah Brightman,spotify:artist:7Ead768rc4ShGxnqtqccU5,1,276133,Amigos Para Siempre - Friends for Life,21,false,spotify:track:1fHusGYQNiiN9JdsJw1W15,https://api.spotify.com/v1/tracks/1fHusGYQNiiN9JdsJw1W15
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Mo' Money Original Motion Picture Soundtrack,spotify:album:1FNmGXsECZS7SoQxB4yIz2,Mo' Money Original Motion Picture Soundtrack,spotify:artist:21RIDFdAhPSXh2jNAMHrGG,1,276114,The Best Things In Life Are Free,0,true,spotify:track:5SXT3MdtwxiDVVB9HqEBM5,https://api.spotify.com/v1/tracks/5SXT3MdtwxiDVVB9HqEBM5
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Mo' Money Original Motion Picture Soundtrack,spotify:album:1FNmGXsECZS7SoQxB4yIz2,Luther Vandross & Janet Jackson Feat. BBD & Ralph Tresvant,spotify:artist:7EOUcztYmO75uVRG4HNcOr,1,276114,The Best Things In Life Are Free,0,true,spotify:track:5SXT3MdtwxiDVVB9HqEBM5,https://api.spotify.com/v1/tracks/5SXT3MdtwxiDVVB9HqEBM5
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,Please Don't Go,spotify:album:2iExuSxQaFAmuyRVrnLyAy,K.W.S.,spotify:artist:188XxH8QLu4w8GW7cxSJe9,1,225920,Please Don't Go (Radio Cut),34,false,spotify:track:0w7XcNz84saf5p1nigc22t,https://api.spotify.com/v1/tracks/0w7XcNz84saf5p1nigc22t
