playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Down The Way,spotify:album:0C29hfEJQdcyzpTHy8tTXr,Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,1,239120,Big Jet Plane,61,false,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,https://api.spotify.com/v1/tracks/2fbXJ0VpxhW7j0qcg1DnoZ
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Midnight Remember,spotify:album:1bTLZ2jx6XFR6P9YPzQPuk,Little Red,spotify:artist:74WcfqC2hmUFHEJs0PDqYi,1,210160,Rock It,0,false,spotify:track:2uVvdA2rIdY1kSO1khtEkg,https://api.spotify.com/v1/tracks/2uVvdA2rIdY1kSO1khtEkg
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,The Golden Year,spotify:album:38upOspPcUhV6nQpT4Tqxd,Ou Est Le Swimming Pool,spotify:artist:1m3jswEIBazYObuVL9NriQ,1,206266,Dance The Way I Feel,0,false,spotify:track:7gM19ONvbL6FLKd5teJ3kt,https://api.spotify.com/v1/tracks/7gM19ONvbL6FLKd5teJ3kt
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Birds Of Tokyo,spotify:album:5SJkYrOgbOHRPTtvVm23FI,Birds Of Tokyo,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,1,218000,Plans,59,false,spotify:track:1TZGMJxT3gPDkwZyfcc9ED,https://api.spotify.com/v1/tracks/1TZGMJxT3gPDkwZyfcc9ED
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,He Will Have His Way - The Songs Of Tim & Neil Finn,spotify:album:6aiKwTrXj3GqBPFdtI1PpR,Boy & Bear,spotify:artist:2NqgE99Ll5vOTvmbN7O2R6,1,271386,Fall At Your Feet,57,false,spotify:track:4HopuG8wQBlvXQ6xwA79FG,https://api.spotify.com/v1/tracks/4HopuG8wQBlvXQ6xwA79FG
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Adrian Lux,spotify:album:3PkihmRbn1fBM07FHktcvf,Adrian Lux,spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh,1,168920,Teenage Crime,50,false,spotify:track:46LTPfvrxlgNLyIGBup4O2,https://api.spotify.com/v1/tracks/46LTPfvrxlgNLyIGBup4O2
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,The Lady Killer,spotify:album:2C6PoS3fs0ZHKcWzdJMyIX,CeeLo Green,spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8,1,223066,Fuck You,19,true,spotify:track:4kAdSpTpIjLuwsZLYSEaDt,https://api.spotify.com/v1/tracks/4kAdSpTpIjLuwsZLYSEaDt
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,The Wombats Proudly Present... This Modern Glitch,spotify:album:1hKNgyPKnkCjWtH5GtusTq,The Wombats,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,1,225526,Tokyo (Vampires & Wolves),60,false,spotify:track:5o2UsVpnpQcDDRcuEPzGIm,https://api.spotify.com/v1/tracks/5o2UsVpnpQcDDRcuEPzGIm
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,The Experiment,spotify:album:4jSYqbenhyolbSdJmEOTpx,Art vs Science,spotify:artist:4MlrZKzgi3UuZi2iDKjOar,1,282346,Magic Fountain,44,false,spotify:track:3fjXJEcLO9teTpeL8EDrSm,https://api.spotify.com/v1/tracks/3fjXJEcLO9teTpeL8EDrSm
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Record Collection,spotify:album:0m8wvW3WNm9D7J0KUlbf3h,Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,1,297933,Somebody to Love Me,49,false,spotify:track:2Tky1eOpdLXo8yYawnTMcj,https://api.spotify.com/v1/tracks/2Tky1eOpdLXo8yYawnTMcj
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Record Collection,spotify:album:0m8wvW3WNm9D7J0KUlbf3h,The Business Intl,spotify:artist:5D19FUPuoRUpCBtWoY14C4,1,297933,Somebody to Love Me,49,false,spotify:track:2Tky1eOpdLXo8yYawnTMcj,https://api.spotify.com/v1/tracks/2Tky1eOpdLXo8yYawnTMcj
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,ABC News Theme (Pendulum Remix),spotify:album:21WUC3lNkXpmzzzjiyXmAn,Australian Broadcasting Corporation Philharmonic Orchestra,spotify:artist:3O5O4CE9FvxPnNWBgfamvV,1,163387,ABC News Theme - Pendulum Remix,42,false,spotify:track:31L1Xn0iiC1m4LzLHsbhlu,https://api.spotify.com/v1/tracks/31L1Xn0iiC1m4LzLHsbhlu
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,ABC News Theme (Pendulum Remix),spotify:album:21WUC3lNkXpmzzzjiyXmAn,Pendulum,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,1,163387,ABC News Theme - Pendulum Remix,42,false,spotify:track:31L1Xn0iiC1m4LzLHsbhlu,https://api.spotify.com/v1/tracks/31L1Xn0iiC1m4LzLHsbhlu
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,The Life Of Riley,spotify:album:4q3oz28Y0RUa22SRQh3quY,Drapht,spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,1,202570,Rapunzel,54,false,spotify:track:6IjeDgkEfact4RDxnq4s9n,https://api.spotify.com/v1/tracks/6IjeDgkEfact4RDxnq4s9n
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,We Are Born,spotify:album:6pgVpIRnYoQgCl5ovEMimz,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,1,238436,Clap Your Hands,41,false,spotify:track:5aIHmhuL1pk0XerSPHNrfS,https://api.spotify.com/v1/tracks/5aIHmhuL1pk0XerSPHNrfS
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Runaway (Explicit Version),spotify:album:0uAPk9JTejYKvlEoxayaFZ,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,1,339440,Runaway,46,true,spotify:track:50HCj9kEXIonBwRLXFWCr8,https://api.spotify.com/v1/tracks/50HCj9kEXIonBwRLXFWCr8
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Runaway (Explicit Version),spotify:album:0uAPk9JTejYKvlEoxayaFZ,Pusha T,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy,1,339440,Runaway,46,true,spotify:track:50HCj9kEXIonBwRLXFWCr8,https://api.spotify.com/v1/tracks/50HCj9kEXIonBwRLXFWCr8
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Barbra Streisand,spotify:album:4T7mrief1c7nZ1EqzgM4iV,Duck Sauce,spotify:artist:0q8J3Yj810t5cpAYEJ7gxt,1,194531,Barbra Streisand - Radio Edit,45,false,spotify:track:4P57hnx1SK88ULEcQls2vV,https://api.spotify.com/v1/tracks/4P57hnx1SK88ULEcQls2vV
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Dark Storm,spotify:album:7wyAaoxSnXZfOjx9LyXMYr,The Jezabels,spotify:artist:76KHdORVQMt7L6nVzvOUph,1,307840,Mace Spray,40,false,spotify:track:1qd89nxexpEj8N7TTOYzZZ,https://api.spotify.com/v1/tracks/1qd89nxexpEj8N7TTOYzZZ
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Record Collection,spotify:album:0m8wvW3WNm9D7J0KUlbf3h,Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,1,233626,Bang Bang Bang,52,true,spotify:track:44AL9Xok81qGEOZdPQpUnM,https://api.spotify.com/v1/tracks/44AL9Xok81qGEOZdPQpUnM
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Record Collection,spotify:album:0m8wvW3WNm9D7J0KUlbf3h,The Business Intl,spotify:artist:5D19FUPuoRUpCBtWoY14C4,1,233626,Bang Bang Bang,52,true,spotify:track:44AL9Xok81qGEOZdPQpUnM,https://api.spotify.com/v1/tracks/44AL9Xok81qGEOZdPQpUnM
