playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Eternal Nightcap,spotify:album:6AbtsiGDynixrlztUH2bpk,The Whitlams,spotify:artist:2fczAptz6g62e12F9LxYI6,1,259493,No Aphrodisiac,49,false,spotify:track:6Lsj7lUt1kcKtVWE02BxBK,https://api.spotify.com/v1/tracks/6Lsj7lUt1kcKtVWE02BxBK
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Blur,spotify:album:3VyHgnHE4cp7YuU7skzuJ2,Blur,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,1,121160,Song 2 - 2012 Remaster,43,false,spotify:track:1id6H6vcwSB9GGv9NXh5cl,https://api.spotify.com/v1/tracks/1id6H6vcwSB9GGv9NXh5cl
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,101 Songs For Dad,spotify:album:0t5hYJfLhfNhwZHs5CU3z6,Chumbawamba,spotify:artist:0TcYeHEK9sBtv7xPbKhzHz,1,203173,Tubthumping - Radio Edit,0,false,spotify:track:2iAmVVkZ7BmrFnOaZluhTD,https://api.spotify.com/v1/tracks/2iAmVVkZ7BmrFnOaZluhTD
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Bitter Sweet Symphony,spotify:album:08wjDIHFe2QTZL3ryyY4M9,The Verve,spotify:artist:2cGwlqi3k18jFpUyTrsR84,1,275093,Bitter Sweet Symphony - Radio Edit,44,false,spotify:track:1ZAhmC1We4HpL2VWK01qpC,https://api.spotify.com/v1/tracks/1ZAhmC1We4HpL2VWK01qpC
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Dude Ranch,spotify:album:0RADUK8yTUBidzBke6Eszq,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,1,165373,Dammit,64,true,spotify:track:6HvUYS1xDfTCGWoeVrv3XS,https://api.spotify.com/v1/tracks/6HvUYS1xDfTCGWoeVrv3XS
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,OK Computer,spotify:album:7dxKtc08dYeRVHt3p9CZJn,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,1,387213,Paranoid Android,67,false,spotify:track:2nTsKOXIVGDf2iPeVQO2Gm,https://api.spotify.com/v1/tracks/2nTsKOXIVGDf2iPeVQO2Gm
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Antichrist Superstar,spotify:album:7APnZJwayR3lH9aUDPDYQB,Marilyn Manson,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj,1,218826,The Beautiful People,72,true,spotify:track:2aIB1CdRRG7YLBu9hNw9nR,https://api.spotify.com/v1/tracks/2aIB1CdRRG7YLBu9hNw9nR
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,OK Computer,spotify:album:7dxKtc08dYeRVHt3p9CZJn,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,1,264066,Karma Police,74,false,spotify:track:3SVAN3BRByDmHOhKyIDxfC,https://api.spotify.com/v1/tracks/3SVAN3BRByDmHOhKyIDxfC
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Slightly Odway,spotify:album:7LZLRjjAvM2xXdYbVHoPh3,Jebediah,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,1,181333,Leaving Home,52,false,spotify:track:3OtIgLTHpPYez3WmDN2iYZ,https://api.spotify.com/v1/tracks/3OtIgLTHpPYez3WmDN2iYZ
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Fush Yu Mang (20th Anniversary Edition),spotify:album:1CsztoJYGwGURMCppulrOt,Smash Mouth,spotify:artist:2iEvnFsWxR0Syqu2JNopAd,1,207786,Walkin' On The Sun,65,false,spotify:track:4TQeNHx85xcP9YRkvJC6K1,https://api.spotify.com/v1/tracks/4TQeNHx85xcP9YRkvJC6K1
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Whatever and Ever Amen,spotify:album:7ggEMmVTUloqdMw18rv0ve,Ben Folds Five,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,1,232293,One Angry Dwarf and 200 Solemn Faces,24,false,spotify:track:4rOPzC3EoK0v3EDQW3V4oD,https://api.spotify.com/v1/tracks/4rOPzC3EoK0v3EDQW3V4oD
