playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Black Holes and Revelations,spotify:album:0lw68yx3MhKflWFqCsGkIs,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,1,366213,Knights of Cydonia,69,false,spotify:track:7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/tracks/7ouMYWpwJ422jRcDASZB7P
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Young Modern,spotify:album:7yDs4Q4jhZEOTivpHbllda,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,1,257733,Straight Lines,58,false,spotify:track:5HBDU0kn4f4hkZMjABsltT,https://api.spotify.com/v1/tracks/5HBDU0kn4f4hkZMjABsltT
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Because Of The Times,spotify:album:5CiZOqd3iF6p2PsqBjljat,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1,201800,On Call,57,false,spotify:track:28POcTYQKfkjz6qTIvtjG1,https://api.spotify.com/v1/tracks/28POcTYQKfkjz6qTIvtjG1
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Grand National,spotify:album:4J3pXm5ARFn6qiUePyJsqw,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,209333,Better Than,52,false,spotify:track:5XYb6UnDIUvulbuiAKImNa,https://api.spotify.com/v1/tracks/5XYb6UnDIUvulbuiAKImNa
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Be The Twilight - Enter The Twilight Zone,spotify:album:1SIiqTnpIQ04MOcD9W8MoD,Faker,spotify:artist:0RaO9p4AomXaVUXzV8SPVW,1,227694,This Heart Attack,18,false,spotify:track:4YJbsqgnUC1J2RdVREXFji,https://api.spotify.com/v1/tracks/4YJbsqgnUC1J2RdVREXFji
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,"Echoes, Silence, Patience & Grace",spotify:album:3ilXDEG0xiajK8AbqboeJz,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,1,269373,The Pretender,76,false,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,"Harder, Better, Faster, Stronger (Live)",spotify:album:3XiVwyHlgGP6XxTdYdDuVI,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,1,214240,Harder Better Faster Stronger - Alive Radio Edit 2007,38,false,spotify:track:2De3sEoBWy7HYz4vdIzClL,https://api.spotify.com/v1/tracks/2De3sEoBWy7HYz4vdIzClL
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Robbers & Cowards,spotify:album:5GtB9w5SqyDlhgJss1ViOe,Cold War Kids,spotify:artist:6VDdCwrBM4qQaGxoAyxyJC,1,218786,Hang Me up to Dry,32,false,spotify:track:4goWmpceUK3FiZ8nP0u64A,https://api.spotify.com/v1/tracks/4goWmpceUK3FiZ8nP0u64A
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Cruel Guards,spotify:album:6LiaqpkrtYlYCAXudOg81G,The Panics,spotify:artist:1kmmvExwG8zvYSADt6V09T,1,301186,Don't Fight It,48,false,spotify:track:3FrgVAoYIuJxboXgMDnh3F,https://api.spotify.com/v1/tracks/3FrgVAoYIuJxboXgMDnh3F
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Problems,spotify:album:5BN9fpC2DnJYHNALRrYSya,Bluejuice,spotify:artist:7sCcPQQft3sSxcJaB30dlb,1,151413,Vitriol,19,false,spotify:track:64m3tV0u4i8lL7XlS7Fh7Z,https://api.spotify.com/v1/tracks/64m3tV0u4i8lL7XlS7Fh7Z
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,"Proudly Present... A Guide to Love, Loss & Desperation",spotify:album:75l5Bqvc0BH45UhJrS04Xj,The Wombats,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,1,191293,Let's Dance to Joy Division,66,false,spotify:track:7v9Ne4758aGFfFc5avh89h,https://api.spotify.com/v1/tracks/7v9Ne4758aGFfFc5avh89h
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Souvenir : The Singles 2004 - 2012,spotify:album:7vULqepYw4sDUjv70x2AXa,Kaiser Chiefs,spotify:artist:0LbLWjaweRbO4FDKYlbfNt,1,204653,Ruby,0,false,spotify:track:4dgZcu2Jy2xy0GM4PZYHPE,https://api.spotify.com/v1/tracks/4dgZcu2Jy2xy0GM4PZYHPE
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Guns Babes Lemonade,spotify:album:6cCEhTGHOI4o2gguYlroTb,Muscles,spotify:artist:3HPWhYx7kClVIOGduns3Me,1,208000,Ice Cream,42,false,spotify:track:0AlBOG80IWekxvlnZFbbIg,https://api.spotify.com/v1/tracks/0AlBOG80IWekxvlnZFbbIg
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Dream Days At The Hotel Existence,spotify:album:2mitP1kwpNRbbwUxs0wD0K,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,222160,Lost And Running,45,false,spotify:track:5GZimNKDnE8Gf5sL10oTgB,https://api.spotify.com/v1/tracks/5GZimNKDnE8Gf5sL10oTgB
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Breed Obsession,spotify:album:57kpLskpXv5xKy3o316RqX,Gyroscope,spotify:artist:384DhgGNBZ91pyVJF61u18,1,249826,Snakeskin,43,false,spotify:track:6hRoSJ3zFVLS20eMlm5UxI,https://api.spotify.com/v1/tracks/6hRoSJ3zFVLS20eMlm5UxI
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Kala,spotify:album:23vvbZr2ZDlJNZftFAkCqO,M.I.A.,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,1,205200,Paper Planes,78,false,spotify:track:1wgqttlPacpvmX5DKVboOa,https://api.spotify.com/v1/tracks/1wgqttlPacpvmX5DKVboOa
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Apocalypso,spotify:album:66pf8wl3g8BHOdoJtzKCWN,The Presets,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,1,268173,My People,35,false,spotify:track:7jzGuh57asNIvhz1VsFHda,https://api.spotify.com/v1/tracks/7jzGuh57asNIvhz1VsFHda
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Heart It Races,spotify:album:6wY9YCNf0EpuogJgcPLY0W,Architecture In Helsinki,spotify:artist:60eT7q88iLWKnuSXed1AGr,1,178920,Heart It Races,34,false,spotify:track:2NZfOz81OmkMnQmzu9n0ZL,https://api.spotify.com/v1/tracks/2NZfOz81OmkMnQmzu9n0ZL
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Graduation,spotify:album:5fPglEDz9YEwRgbLRvhCZy,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,1,311866,Stronger,80,true,spotify:track:4fzsfWzRhPawzqhX8Qt9F3,https://api.spotify.com/v1/tracks/4fzsfWzRhPawzqhX8Qt9F3
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,We Are The Night,spotify:album:5iEwzKTpvYEvQvaHuBnlOh,The Chemical Brothers,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,1,220226,The Salmon Dance,0,true,spotify:track:0ZpZQMXC3A6LTZH1U5kPdJ,https://api.spotify.com/v1/tracks/0ZpZQMXC3A6LTZH1U5kPdJ
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Grand National,spotify:album:4J3pXm5ARFn6qiUePyJsqw,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,269186,Used To Get High,43,false,spotify:track:0KxVfmuPf6XAP4NN7gAB6q,https://api.spotify.com/v1/tracks/0KxVfmuPf6XAP4NN7gAB6q
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Icky Thump,spotify:album:77dc8fS3O8FaQjhbNASpgM,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,1,254533,Icky Thump,63,false,spotify:track:7aBAo2pO8LvrN8mGba7MvA,https://api.spotify.com/v1/tracks/7aBAo2pO8LvrN8mGba7MvA
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,A Weekend In the City,spotify:album:3OiE2agv6jj4K0vh6wOh7y,Bloc Party,spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ,1,211493,Hunting for Witches,0,false,spotify:track:0ZXCTJS5QaNQcYK4PgTvYl,https://api.spotify.com/v1/tracks/0ZXCTJS5QaNQcYK4PgTvYl
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,The Signal,spotify:album:06BLsIsdaJ2EUzrrEfNiEh,Urthboy,spotify:artist:2j9Ronn6pPSxcsqnDbVGpZ,1,229920,We Get Around,43,false,spotify:track:7wgWUzQghmVKkfK6tEwu9p,https://api.spotify.com/v1/tracks/7wgWUzQghmVKkfK6tEwu9p
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,The Hard Road Restrung,spotify:album:5ktiSs69rx0IRTfswFwfIy,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,194800,Recapturing The Vibe Restrung,38,true,spotify:track:4QE83iQ9N2N5kNZnfcSyb4,https://api.spotify.com/v1/tracks/4QE83iQ9N2N5kNZnfcSyb4
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Yes Yes Vindictive,spotify:album:7v5RBuKqBYKMypK3C7Uf16,Operator Please,spotify:artist:3KshwzAIDBZRPr5Xc7S79C,1,138333,Just A Song About Ping Pong,32,false,spotify:track:0ir2oAMNqklGn60XP4Pgeu,https://api.spotify.com/v1/tracks/0ir2oAMNqklGn60XP4Pgeu
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Carnavas,spotify:album:2Qr40p1sv6NYrf9NPehsrO,Silversun Pickups,spotify:artist:6qyi8X6MdP1lu6B1K6yh3h,1,354360,Lazy Eye,65,false,spotify:track:1aDLUzCyYpRXgrjwUWzV2X,https://api.spotify.com/v1/tracks/1aDLUzCyYpRXgrjwUWzV2X
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Young Modern,spotify:album:7yDs4Q4jhZEOTivpHbllda,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,1,200426,If You Keep Losing Sleep,26,false,spotify:track:1GNvPgdi6BAlIIwRsaqp9W,https://api.spotify.com/v1/tracks/1GNvPgdi6BAlIIwRsaqp9W
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,A Book Like This,spotify:album:25xEMKamYFIMjqdZHYyrL3,Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,1,227264,Wasted,36,false,spotify:track:4I8SjAgSnLZ4ZS606OOj2K,https://api.spotify.com/v1/tracks/4I8SjAgSnLZ4ZS606OOj2K
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Hymns For The Non-Believer,spotify:album:5MnKpoZxGlfUgDtlgoLIC8,Kisschasy,spotify:artist:21wuAm9OFJEeN7h3EozO0r,1,186200,Opinions Won't Keep You Warm At Night,49,false,spotify:track:1i7fXPo9EG1wNfXC3VrV91,https://api.spotify.com/v1/tracks/1i7fXPo9EG1wNfXC3VrV91
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Because Of The Times,spotify:album:5CiZOqd3iF6p2PsqBjljat,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1,216400,Fans,55,false,spotify:track:4SjOxVdKCnuX2pSXG68ChM,https://api.spotify.com/v1/tracks/4SjOxVdKCnuX2pSXG68ChM
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,The Reminder,spotify:album:27Y2wm3WcFThQocgjLI5wF,Feist,spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,1,183666,1234,64,false,spotify:track:49CP2usyaN98EdtrOWXnal,https://api.spotify.com/v1/tracks/49CP2usyaN98EdtrOWXnal
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Justice,spotify:album:4GGazqHvuKwxBjWLFaJkDL,Justice,spotify:artist:1gR0gsQYfi6joyO1dlp76N,1,242266,D.A.N.C.E,65,false,spotify:track:33yAEqzKXexYM3WlOYtTfQ,https://api.spotify.com/v1/tracks/33yAEqzKXexYM3WlOYtTfQ
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Places Like This,spotify:album:2JkwBwFVzfdFkZas2mz7tC,Architecture In Helsinki,spotify:artist:60eT7q88iLWKnuSXed1AGr,1,234920,Hold Music,18,false,spotify:track:16ArwOOkQXxnaoSBHMuGvI,https://api.spotify.com/v1/tracks/16ArwOOkQXxnaoSBHMuGvI
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Robbers & Cowards,spotify:album:5GtB9w5SqyDlhgJss1ViOe,Cold War Kids,spotify:artist:6VDdCwrBM4qQaGxoAyxyJC,1,279400,Hospital Beds,17,false,spotify:track:5PL2z5DnDXuTYMbyCdbh5Z,https://api.spotify.com/v1/tracks/5PL2z5DnDXuTYMbyCdbh5Z
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Ziggurats,spotify:album:5xLZlgl8Njj2FiCtwkSHpc,The Beautiful Girls,spotify:artist:0hDJSg859MdK4c9vqu1dS8,1,192466,I Thought About You,32,false,spotify:track:3BseI2RqmMy9QLMBc4jtRd,https://api.spotify.com/v1/tracks/3BseI2RqmMy9QLMBc4jtRd
