playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Making Mirrors,spotify:album:6EMxWaM803hd4sPsJ6PkcA,Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG,1,244893,Somebody That I Used To Know,63,false,spotify:track:1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/tracks/1qk9ujVgudgU8CyhKOx8ji
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Making Mirrors,spotify:album:6EMxWaM803hd4sPsJ6PkcA,Kimbra,spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti,1,244893,Somebody That I Used To Know,63,false,spotify:track:1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/tracks/1qk9ujVgudgU8CyhKOx8ji
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,El Camino,spotify:album:5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,1,193653,Lonely Boy,72,false,spotify:track:5G1sTBGbZT5o4PNRc75RKI,https://api.spotify.com/v1/tracks/5G1sTBGbZT5o4PNRc75RKI
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Into The Flame,spotify:album:51ET6cqHUpWJRtIHdJI20H,Matt Corby,spotify:artist:7CIW23FQUXPc1zebnO1TDG,1,254213,Brother,59,true,spotify:track:5KrdYQS4U1Emzer8QShBE7,https://api.spotify.com/v1/tracks/5KrdYQS4U1Emzer8QShBE7
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Moonfire,spotify:album:3UsAObHERCrshH20RiicHG,Boy & Bear,spotify:artist:2NqgE99Ll5vOTvmbN7O2R6,1,268626,Feeding Line,52,false,spotify:track:5PRN8ql17R8rcKnHo6Ajlk,https://api.spotify.com/v1/tracks/5PRN8ql17R8rcKnHo6Ajlk
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,"Hurry Up, We're Dreaming",spotify:album:5OD4H7aBoUxY83FeYXFrnX,M83,spotify:artist:63MQldklfxkjYDoUE4Tppz,1,243960,Midnight City,55,false,spotify:track:2aIh7tYvYLcU4KA0AlS6n0,https://api.spotify.com/v1/tracks/2aIh7tYvYLcU4KA0AlS6n0
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Video Games,spotify:album:0V3HJ3D9LsXlqzuXu6jx39,Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,1,284500,Video Games,60,false,spotify:track:5xTEkzHycz81QTcqCS9oVv,https://api.spotify.com/v1/tracks/5xTEkzHycz81QTcqCS9oVv
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Awkward,spotify:album:6lkDllJCsavtd5vFd7ddue,San Cisco,spotify:artist:0Ou0138wEd8XWebhc4j7O0,1,155640,Awkward,43,false,spotify:track:5QkwbUdIcUIu3eyCkDxUv6,https://api.spotify.com/v1/tracks/5QkwbUdIcUIu3eyCkDxUv6
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Falling & Flying,spotify:album:43PP5L3A9ybQjiHTKG8Xtx,360,spotify:artist:3vn7rk7VNMfDhuZNB9sDYP,1,220626,Boys Like You,54,true,spotify:track:2Aab1S0t1HRbvF1BKaw2xj,https://api.spotify.com/v1/tracks/2Aab1S0t1HRbvF1BKaw2xj
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Falling & Flying,spotify:album:43PP5L3A9ybQjiHTKG8Xtx,Gossling,spotify:artist:0NnyKz36MvIC2R3dFht35A,1,220626,Boys Like You,54,true,spotify:track:2Aab1S0t1HRbvF1BKaw2xj,https://api.spotify.com/v1/tracks/2Aab1S0t1HRbvF1BKaw2xj
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Prisoner,spotify:album:0lE9By9oGlFNOQXZbSmW6P,The Jezabels,spotify:artist:76KHdORVQMt7L6nVzvOUph,1,251533,Endless Summer,41,false,spotify:track:7qo5m52K1ijTQtH10dyJX5,https://api.spotify.com/v1/tracks/7qo5m52K1ijTQtH10dyJX5
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Drinking From The Sun,spotify:album:5iGxWJQNXmqcdx5IYN23XK,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,226413,I Love It,61,false,spotify:track:30MIMYaX8C3BMvL3Zhs6KO,https://api.spotify.com/v1/tracks/30MIMYaX8C3BMvL3Zhs6KO
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Drinking From The Sun,spotify:album:5iGxWJQNXmqcdx5IYN23XK,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,1,226413,I Love It,61,false,spotify:track:30MIMYaX8C3BMvL3Zhs6KO,https://api.spotify.com/v1/tracks/30MIMYaX8C3BMvL3Zhs6KO
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,18 Months,spotify:album:7w19PFbxAjwZ7UVNp9z0uT,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,1,206413,Feel So Close - Radio Edit,77,false,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Moment Bends,spotify:album:6MzPmBHghBU85eH0XHNmT6,Architecture In Helsinki,spotify:artist:60eT7q88iLWKnuSXed1AGr,1,218005,Contact High,36,false,spotify:track:3BPk5Gbe4Axv0RkR6JeIwE,https://api.spotify.com/v1/tracks/3BPk5Gbe4Axv0RkR6JeIwE
