playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Built On Glass,spotify:album:2CAPvFwJunN99YvQOJ6CDt,Chet Faker,spotify:artist:6UcJxoeHWWWyT5HZP064om,1,218067,Talk Is Cheap,0,true,spotify:track:7bliRZuMFa2JmUzzNd62kk,https://api.spotify.com/v1/tracks/7bliRZuMFa2JmUzzNd62kk
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,High,spotify:album:69yLePgnX1KDHwneFMg6WF,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,228000,High - Original Mix,59,false,spotify:track:74ciVAMC3GuSkEVTLIIqBS,https://api.spotify.com/v1/tracks/74ciVAMC3GuSkEVTLIIqBS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,High,spotify:album:69yLePgnX1KDHwneFMg6WF,Nicole Millar,spotify:artist:0lYzZ91QzokaPrRK1vq6tW,1,228000,High - Original Mix,59,false,spotify:track:74ciVAMC3GuSkEVTLIIqBS,https://api.spotify.com/v1/tracks/74ciVAMC3GuSkEVTLIIqBS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Walking Under Stars,spotify:album:7Lp5k5j4kHtTT8zOpJkfUN,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,217720,Cosby Sweater,65,true,spotify:track:6myDPrp86x4Lhyp5aqU0EV,https://api.spotify.com/v1/tracks/6myDPrp86x4Lhyp5aqU0EV
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Sadnecessary,spotify:album:1CEBG1qVlHZr6v7eHAVF4W,Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs,1,313684,Stolen Dance,78,false,spotify:track:2jiPHbFX5XM8TjaTfYJ0eo,https://api.spotify.com/v1/tracks/2jiPHbFX5XM8TjaTfYJ0eo
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Take Me Over,spotify:album:2NxPeKkblovr3zSAXEAvyG,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,208121,Take Me Over,12,false,spotify:track:2SrvRFcgZfIhoRBkdDtUfv,https://api.spotify.com/v1/tracks/2SrvRFcgZfIhoRBkdDtUfv
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Take Me Over,spotify:album:2NxPeKkblovr3zSAXEAvyG,SAFIA,spotify:artist:1y07gMlsfAdz2KOvZzyUTB,1,208121,Take Me Over,12,false,spotify:track:2SrvRFcgZfIhoRBkdDtUfv,https://api.spotify.com/v1/tracks/2SrvRFcgZfIhoRBkdDtUfv
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Uptown Special,spotify:album:3vLaOYCNCzngDf8QdBg2V1,Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,1,269666,Uptown Funk (feat. Bruno Mars),81,false,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Uptown Special,spotify:album:3vLaOYCNCzngDf8QdBg2V1,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,1,269666,Uptown Funk (feat. Bruno Mars),81,false,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Built On Glass,spotify:album:2CAPvFwJunN99YvQOJ6CDt,Chet Faker,spotify:artist:6UcJxoeHWWWyT5HZP064om,1,285255,Gold,0,false,spotify:track:5Xdm7q8wd3g7B48Apnzjyd,https://api.spotify.com/v1/tracks/5Xdm7q8wd3g7B48Apnzjyd
