playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,The Mule (Original Soundtrack),spotify:album:30SFPe3344n3w0Gzs01Rjd,Austen Tayshus,spotify:artist:5qTZ9vH8R6tz5H9QWXNf6T,1,263813,Australiana,21,false,spotify:track:2DRRuNEvqE8LeUO6wcE63q,https://api.spotify.com/v1/tracks/2DRRuNEvqE8LeUO6wcE63q
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,What a Feelin',spotify:album:0BK4XIgJ3AublHWN48vNzS,Irene Cara,spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G,1,237053,Flashdance...What a Feeling - Radio Edit,71,false,spotify:track:3cbV252akVZInSvJk7jAYX,https://api.spotify.com/v1/tracks/3cbV252akVZInSvJk7jAYX
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,The Best of Branigan,spotify:album:2bfvV9aRLN1BseXz4FbVnW,Laura Branigan,spotify:artist:4463nfFMmK1cwAWBQDwT5e,1,295066,Gloria,65,false,spotify:track:15ob9SMGLWrexuPuyuMjKl,https://api.spotify.com/v1/tracks/15ob9SMGLWrexuPuyuMjKl
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,Thriller,spotify:album:2ANVost0y2y52ema1E9xAZ,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,1,294226,Billie Jean,59,false,spotify:track:7J1uxwnxfQLu4APicE5Rnj,https://api.spotify.com/v1/tracks/7J1uxwnxfQLu4APicE5Rnj
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,'80s Pop #1's,spotify:album:4Z1n0xes29RVzPttal9QOY,Joe Cocker,spotify:artist:3pFCERyEiP5xeN2EsPXhjI,1,232746,"Up Where We Belong - From ""An Officer And A Gentleman""",33,false,spotify:track:1hX7zUcV9HfzGjWck3tqbr,https://api.spotify.com/v1/tracks/1hX7zUcV9HfzGjWck3tqbr
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,'80s Pop #1's,spotify:album:4Z1n0xes29RVzPttal9QOY,Jennifer Warnes,spotify:artist:1BwHztAQKypBuy5WBEdJnG,1,232746,"Up Where We Belong - From ""An Officer And A Gentleman""",33,false,spotify:track:1hX7zUcV9HfzGjWck3tqbr,https://api.spotify.com/v1/tracks/1hX7zUcV9HfzGjWck3tqbr
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,From The Heart: Greatest Hits,spotify:album:32yo4qmqltM61NKjgCXPLF,Bonnie Tyler,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,1,270693,Total Eclipse of the Heart,2,false,spotify:track:3lhayd3pri2UBwcH4nderB,https://api.spotify.com/v1/tracks/3lhayd3pri2UBwcH4nderB
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,Just One More Kiss,spotify:album:6F2WSh6XTCkF92LjHXm0fI,Renée & Renato,spotify:artist:5TRmDf6KqY9Aes1rYB9Cl7,1,191012,Save Your Love,0,false,spotify:track:0KUMBsKhU0LDCYHtSiaRgA,https://api.spotify.com/v1/tracks/0KUMBsKhU0LDCYHtSiaRgA
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,Colour By Numbers,spotify:album:51NPMfa9QfxsYtqzcB2VfY,Culture Club,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,1,252773,Karma Chameleon - Remastered,73,false,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,Thriller,spotify:album:2ANVost0y2y52ema1E9xAZ,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,1,258399,Beat It - Single Version,57,false,spotify:track:3BovdzfaX4jb5KFQwoPfAw,https://api.spotify.com/v1/tracks/3BovdzfaX4jb5KFQwoPfAw
