playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,That's What I'm Talking About,spotify:album:5wAoxrSVetP84EXgr4Tp3z,Shannon Noll,spotify:artist:2JQme5IJ3U7SRVQqHGN2fG,1,201773,What About Me,55,false,spotify:track:3BUdRr4VGmNajx2wLWlGzl,https://api.spotify.com/v1/tracks/3BUdRr4VGmNajx2wLWlGzl
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Anastacia,spotify:album:032ovDTHUzM5tWZeFqPPEA,Anastacia,spotify:artist:2siHvYaxjaW5rKVRiIrMYH,1,257426,Left Outside Alone,60,false,spotify:track:3xl7PsO7Hzuig6To9FgDm6,https://api.spotify.com/v1/tracks/3xl7PsO7Hzuig6To9FgDm6
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Tonight Alright,spotify:album:5WqHoLszhaCZHgtTebMx8X,Spiderbait,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,1,205973,Black Betty - Edit,62,false,spotify:track:7uSsHbBFFAnkRQR1rDwP3L,https://api.spotify.com/v1/tracks/7uSsHbBFFAnkRQR1rDwP3L
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Milkshake,spotify:album:6Tsyhe5aLFqbhaACmEVwy0,Kelis,spotify:artist:0IF46mUS8NXjgHabxk2MCM,1,186556,Milkshake - Radio Mix,26,false,spotify:track:1wCdTxuGOqhzmP5qTxnt2F,https://api.spotify.com/v1/tracks/1wCdTxuGOqhzmP5qTxnt2F
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,I Don't Want You Back,spotify:album:1wpdvR1qooZm5UbSohCuOx,Eamon,spotify:artist:1y20PpXw0yeuJ1avCD0Ob9,1,225106,Fuck It (I Don't Want You Back),65,true,spotify:track:1p5kC161fWMA2QlwV3Vi4W,https://api.spotify.com/v1/tracks/1p5kC161fWMA2QlwV3Vi4W
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Thank You,spotify:album:0XUV61T420G79IxYhTzrX7,Jamelia,spotify:artist:3f5W9NEwkc1SAIPFuumcaf,1,215480,Superstar,69,false,spotify:track:3oobWqIgYrSRg18uqRuPIF,https://api.spotify.com/v1/tracks/3oobWqIgYrSRg18uqRuPIF
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Fallen,spotify:album:02w1xMzzdF2OJxTeh1basm,Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,1,273360,My Immortal - Band Version,58,false,spotify:track:3PYdxIDuBIuJSDGwfptFx4,https://api.spotify.com/v1/tracks/3PYdxIDuBIuJSDGwfptFx4
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Joel Turner & The Modern Day Poets,spotify:album:5ybspQuN1jZ1Sk8tkBBC1p,Joel Turner and the Modern Day Poets,spotify:artist:16ETuJ039qGokMv1bZUBwU,1,240093,These Kids (radio edit),37,false,spotify:track:0rYA2OJ81pKaPgjMweCipO,https://api.spotify.com/v1/tracks/0rYA2OJ81pKaPgjMweCipO
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Shut Up,spotify:album:01qJHNy9Tig8uEp8JfcIrv,Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,1,310093,Shut Up,31,false,spotify:track:0koYRm9MYr86fdKyaBuSiG,https://api.spotify.com/v1/tracks/0koYRm9MYr86fdKyaBuSiG
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Tha Smokin' Nephew,spotify:album:2bAkYizbM1rMbOUHpfAV9z,Baby Bash,spotify:artist:12PSlydMSjEHzSCj9X5qv7,1,239026,Suga Suga,0,false,spotify:track:00LfFm08VWeZwB0Zlm24AT,https://api.spotify.com/v1/tracks/00LfFm08VWeZwB0Zlm24AT
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Tha Smokin' Nephew,spotify:album:2bAkYizbM1rMbOUHpfAV9z,Frankie J,spotify:artist:3sMYEBy0CZFxedcnm9i9hf,1,239026,Suga Suga,0,false,spotify:track:00LfFm08VWeZwB0Zlm24AT,https://api.spotify.com/v1/tracks/00LfFm08VWeZwB0Zlm24AT
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,D-12 World,spotify:album:61EgDesQnFVyYf2UneM9PQ,D12,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,1,298773,My Band,68,true,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,https://api.spotify.com/v1/tracks/4XHQyvbrBsQaaBUW1VvmsL
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Results May Vary,spotify:album:3oUoQ0UH7Rv06x1kpSjS36,Limp Bizkit,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,1,269973,Behind Blue Eyes,71,false,spotify:track:1MTQHCpraD4S8g5PAFKzoj,https://api.spotify.com/v1/tracks/1MTQHCpraD4S8g5PAFKzoj
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Songs About Jane: 10th Anniversary Edition,spotify:album:5zClcGCSWj926AMjvBNSLc,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,1,259453,She Will Be Loved - Radio Mix,80,false,spotify:track:4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/tracks/4llK75pXNWZz6KAho2Gp16
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,In This Skin (Deluxe Edition),spotify:album:1tCJPKhKa3j1OBgz0MhBUV,Jessica Simpson,spotify:artist:2tFN9ubMXEhdAQvdQxcsma,1,191826,With You,58,false,spotify:track:7pNJ1T9TGbVbNHKaLhhPri,https://api.spotify.com/v1/tracks/7pNJ1T9TGbVbNHKaLhhPri
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Speakerboxxx/The Love Below,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r,OutKast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,2,235213,Hey Ya! - Radio Mix,78,false,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Hurt No More (Explicit Version),spotify:album:0mK2OxJYzYmn3OP1s58dpJ,Mario Winans,spotify:artist:4BIQA9vRkqXEnA2twmq7mU,1,257360,I Don't Wanna Know - Main,0,false,spotify:track:065DMOcJKGLADH42Emwiev,https://api.spotify.com/v1/tracks/065DMOcJKGLADH42Emwiev
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Hurt No More (Explicit Version),spotify:album:0mK2OxJYzYmn3OP1s58dpJ,Enya,spotify:artist:6uothxMWeLWIhsGeF7cyo4,1,257360,I Don't Wanna Know - Main,0,false,spotify:track:065DMOcJKGLADH42Emwiev,https://api.spotify.com/v1/tracks/065DMOcJKGLADH42Emwiev
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Hurt No More (Explicit Version),spotify:album:0mK2OxJYzYmn3OP1s58dpJ,Diddy,spotify:artist:59wfkuBoNyhDMQGCljbUbA,1,257360,I Don't Wanna Know - Main,0,false,spotify:track:065DMOcJKGLADH42Emwiev,https://api.spotify.com/v1/tracks/065DMOcJKGLADH42Emwiev
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,One Determined Heart,spotify:album:2uGQzA2evNHfuI652xh5bt,Paulini,spotify:artist:69lNua6PEluHihKfuIRPKc,1,241440,Angel Eyes,24,false,spotify:track:7DY005dTZhZjHBCpi09apk,https://api.spotify.com/v1/tracks/7DY005dTZhZjHBCpi09apk
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Away From The Sun,spotify:album:72olNArm75vOycSziqIX9Y,3 Doors Down,spotify:artist:2RTUTCvo6onsAnheUk3aL9,1,238733,Here Without You,75,false,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Four To The Floor,spotify:album:6UXbFDhwOmwxVBFJPC0L3x,Starsailor,spotify:artist:0G8zjE6SsFTlbglCkU8pm3,1,280488,Four to the Floor - Thin White Duke Mix; Short Version,55,false,spotify:track:0Hx249i8UGY4cWLjmo1eIH,https://api.spotify.com/v1/tracks/0Hx249i8UGY4cWLjmo1eIH
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Mistaken Identity,spotify:album:6sCFWNbps5NqwfjdK8pWH1,Delta Goodrem,spotify:artist:2g6fa86fL6oLcoDqanBbuR,1,265200,Out Of The Blue,35,false,spotify:track:1XfmLcVCKlRWbivOmgd3pU,https://api.spotify.com/v1/tracks/1XfmLcVCKlRWbivOmgd3pU
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,Feeler,spotify:album:7uUJwUIsG45lgYtNjqqZch,Pete Murray,spotify:artist:1qAMxE8YRo3KREMiKiyUkV,1,279520,So Beautiful - Single Version,54,false,spotify:track:5fnP8bD1LwxYVqoMPOW2Se,https://api.spotify.com/v1/tracks/5fnP8bD1LwxYVqoMPOW2Se
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,The Sound Of White,spotify:album:5Dd14nVQOJIUg9UgKkVyIQ,Missy Higgins,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,1,213733,Scar,59,false,spotify:track:0Xxww5aUyamJlEm8GkP21i,https://api.spotify.com/v1/tracks/0Xxww5aUyamJlEm8GkP21i
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,JoJo,spotify:album:2lsjps4t4rUqisyI7v1Q4S,JoJo,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6,1,241413,Leave (Get Out),0,false,spotify:track:6nnq5ztdhqwgqdVWRotJon,https://api.spotify.com/v1/tracks/6nnq5ztdhqwgqdVWRotJon
