playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Sigh No More,spotify:album:1c2Ee269Rj9w8wn8s3qQu9,Mumford & Sons,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,1,247000,Little Lion Man,9,true,spotify:track:20uBdCmVtlUuYsvxysoito,https://api.spotify.com/v1/tracks/20uBdCmVtlUuYsvxysoito
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Art vs Science,spotify:album:1qf9h2hmrUi1P1cjDdRP5I,Art vs Science,spotify:artist:4MlrZKzgi3UuZi2iDKjOar,1,213453,Parlez Vous Francais,43,false,spotify:track:2RexMVjpaxZzPrXZwDv2sj,https://api.spotify.com/v1/tracks/2RexMVjpaxZzPrXZwDv2sj
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,State Of The Art,spotify:album:4ulZKiq9M6eBxBKgMKLn1p,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,209266,Chase That Feeling,55,false,spotify:track:0HDVr7DVXJIJXVzHxTiSS5,https://api.spotify.com/v1/tracks/0HDVr7DVXJIJXVzHxTiSS5
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Wolfgang Amadeus Phoenix,spotify:album:12bF0kb7344fnzq9W6Nq1t,Phoenix,spotify:artist:1xU878Z1QtBldR7ru9owdU,1,241546,Lisztomania,0,false,spotify:track:6U7nhuHHkcw5OQQLgfHHL7,https://api.spotify.com/v1/tracks/6U7nhuHHkcw5OQQLgfHHL7
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Head of The Hawk,spotify:album:5yegnN64UF97qcdooZ3xKw,Bluejuice,spotify:artist:7sCcPQQft3sSxcJaB30dlb,1,192946,Broken Leg,52,false,spotify:track:32G0h9eJinZuDu89USLU2V,https://api.spotify.com/v1/tracks/32G0h9eJinZuDu89USLU2V
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,La Roux,spotify:album:3CcCqXsbyjCDDSA3omcGoy,La Roux,spotify:artist:3K2zB87GZv1krx031en5VA,1,205733,Bulletproof,70,false,spotify:track:3kMrazSvILsgcwtidZd1Qd,https://api.spotify.com/v1/tracks/3kMrazSvILsgcwtidZd1Qd
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Wonder (Standard),spotify:album:0JR5U7wsYbHaSZhkYS2r7X,Lisa Mitchell,spotify:artist:53f2OKMfVLTsHFkGyA5dnz,1,191773,Coin Laundry,41,false,spotify:track:4TgTyywODXLaCWYqffVjO5,https://api.spotify.com/v1/tracks/4TgTyywODXLaCWYqffVjO5
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,"It's Not Me, It's You",spotify:album:6Fd0G5hVdr8bkZCMi8YqJU,Lily Allen,spotify:artist:13saZpZnCDWOI9D4IJhp1f,1,202546,Not Fair,30,true,spotify:track:2iJG2T1ETX533HJF9bVTrA,https://api.spotify.com/v1/tracks/2iJG2T1ETX533HJF9bVTrA
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,The Resistance,spotify:album:0eFHYz8NmK75zSplL5qlfM,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,1,304840,Uprising,75,false,spotify:track:4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Lungs (Deluxe Version),spotify:album:1rLLyY5p6HXNl2lKzINWp5,Florence + The Machine,spotify:artist:1moxjboGR7GNWYIMWsRjgG,1,252818,Dog Days Are Over,73,false,spotify:track:456WNXWhDwYOSf5SpTuqxd,https://api.spotify.com/v1/tracks/456WNXWhDwYOSf5SpTuqxd
