playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Virgin Records: 40 Years Of Disruptions,spotify:album:1PDvi5uU71NCpZ7TPdcl6B,Meat Loaf,spotify:artist:7dnB1wSxbYa8CejeVg98hz,2,324600,I'd Do Anything For Love (But I Won't Do That),21,false,spotify:track:4iZKamIcoFKiPO2URL3UJO,https://api.spotify.com/v1/tracks/4iZKamIcoFKiPO2URL3UJO
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,The Bodyguard - Original Soundtrack Album,spotify:album:7JVJlkNNobS0GSoy4tCS96,Whitney Houston,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,1,271093,I Will Always Love You,77,false,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Sonia Dada,spotify:album:5pvGQ3nohEcX2yJ1hAyX7u,D. Pritzker,spotify:artist:7hSWOsjh4uFNAS6c3gcm25,1,247626,(Lover) You Don't Treat Me No Good,56,false,spotify:track:1wdQiMzfdRiufsCKWH2anl,https://api.spotify.com/v1/tracks/1wdQiMzfdRiufsCKWH2anl
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Sonia Dada,spotify:album:5pvGQ3nohEcX2yJ1hAyX7u,Sonia Dada,spotify:artist:1aTjB39eq6n3HcA8MbGpGp,1,247626,(Lover) You Don't Treat Me No Good,56,false,spotify:track:1wdQiMzfdRiufsCKWH2anl,https://api.spotify.com/v1/tracks/1wdQiMzfdRiufsCKWH2anl
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Blazzin' Fire,spotify:album:0zLd8jpRt4m6FWCu81Fb9n,Inner Circle,spotify:artist:5os0Ltvz8Q8BvXOPOd1frx,1,227067,Sweat (A La La La La Long),72,false,spotify:track:1SssFw74DdHVjRa6ADggdD,https://api.spotify.com/v1/tracks/1SssFw74DdHVjRa6ADggdD
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Promises And Lies,spotify:album:0B0RuH2PSWoEkIvi75xY5d,UB40,spotify:artist:69MEO1AADKg1IZrq2XLzo5,1,207440,(I Can't Help) Falling In Love With You,69,false,spotify:track:7ojJ4XvqBhBcteM0zjMebT,https://api.spotify.com/v1/tracks/7ojJ4XvqBhBcteM0zjMebT
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,12 Inches Of Snow,spotify:album:6bNWz7bHK8M0xPfAPmFSRW,Snow,spotify:artist:3uZFBSsMiooimnprFL9jD1,1,268910,Informer,64,false,spotify:track:2LjiPAQOVazT8sRyXL3XRs,https://api.spotify.com/v1/tracks/2LjiPAQOVazT8sRyXL3XRs
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,"Bigger, Better, Faster, More !",spotify:album:2P8M5eo4zWFD0JJtH4D0iA,4 Non Blondes,spotify:artist:0Je74SitssvJg1w4Ra2EK7,1,295533,What's Up?,79,false,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,America's Least Wanted,spotify:album:0lQjdBr2n0WQg5sjGzLVfR,Ugly Kid Joe,spotify:artist:3XsgWn63EnA4wYZBjVyxjf,1,241893,Cats In The Cradle,64,false,spotify:track:5x9RZg7HfXGY3JayXL3seF,https://api.spotify.com/v1/tracks/5x9RZg7HfXGY3JayXL3seF
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,Happy Nation (U.S. Version),spotify:album:37UgOnkBN4ZfY1nBoSCL9L,Ace of Base,spotify:artist:5ksRONqssB7BR161NTtJAm,1,211213,All That She Wants,8,false,spotify:track:4C4T0u9N2NretcDEP1Zpvy,https://api.spotify.com/v1/tracks/4C4T0u9N2NretcDEP1Zpvy
