playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Watching Angels Mend,spotify:album:6ETAgT0iWkJKsKJeNT41Z6,Alex Lloyd,spotify:artist:1aVud1rCHS8xrpDjI7zEUy,1,203213,Amazing,49,false,spotify:track:1nDwGcdtCwB4Ipfli2k57i,https://api.spotify.com/v1/tracks/1nDwGcdtCwB4Ipfli2k57i
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Echolalia,spotify:album:28GvCEmdROOhpgVYwODp3y,Something For Kate,spotify:artist:47yawJswuSfSvizYhItoOP,1,219533,Monsters,47,false,spotify:track:6F0aZM4vU2b0uTm4Ry5Cp5,https://api.spotify.com/v1/tracks/6F0aZM4vU2b0uTm4Ry5Cp5
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Toxicity,spotify:album:6jWde94ln40epKIQCd8XUh,System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,1,210240,Chop Suey!,79,false,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Rooty,spotify:album:6Gv1fOIDgnEfT0RnoUJ65Z,Basement Jaxx,spotify:artist:4YrKBkKSVeqDamzBPWVnSJ,1,283533,Where's Your Head At,58,false,spotify:track:25ys1lEf3z6lvkDEE5mG0R,https://api.spotify.com/v1/tracks/25ys1lEf3z6lvkDEE5mG0R
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Three,spotify:album:3xwZOyRWoTxdx2w3nKs7a2,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,499413,Betterman,49,false,spotify:track:1SwwSZY0ZLvNf14BADfpQT,https://api.spotify.com/v1/tracks/1SwwSZY0ZLvNf14BADfpQT
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Anthology,spotify:album:5klPnHQ5dy6Qm2Ul7h1lp5,Alien Ant Farm,spotify:artist:6TZdvF1kFzwnQLgHQynzsO,1,209266,Smooth Criminal,73,false,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Weezer (Green Album),spotify:album:2OBSz5Nlto0Q5CtYPzPY7c,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,1,200306,Island In The Sun,77,false,spotify:track:2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Since I Left You,spotify:album:4cSWbSVL31WoIcSBaSqyit,The Avalanches,spotify:artist:3C8RpaI3Go0yFF9whvKoED,1,260946,Since I Left You,37,false,spotify:track:693R4N3d57wZcUXgsuSj1i,https://api.spotify.com/v1/tracks/693R4N3d57wZcUXgsuSj1i
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Gorillaz,spotify:album:4tUxQkrduOE8sfgwJ5BI2F,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,1,340920,Clint Eastwood,75,true,spotify:track:1RKUoGiLEbcXN4GY4spQDx,https://api.spotify.com/v1/tracks/1RKUoGiLEbcXN4GY4spQDx
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Comfort Eagle,spotify:album:5OCg9OWnL1PY4tW2ON8ssj,Cake,spotify:artist:6A43Djmhbe9100UwnI7epV,1,204133,Short Skirt / Long Jacket,65,false,spotify:track:3OOFEF20WqtsUPcRbPY3L7,https://api.spotify.com/v1/tracks/3OOFEF20WqtsUPcRbPY3L7
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Beautiful Garbage (Remastered),spotify:album:5w0s9hGjVFeM24ishppSi0,Garbage,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,1,192040,Cherry Lips (Go Baby Go),0,false,spotify:track:5t07GqRpmmDqohxoQSWy4e,https://api.spotify.com/v1/tracks/5t07GqRpmmDqohxoQSWy4e
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Is This It,spotify:album:2yNaksHgeMQM9Quse463b5,The Strokes,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,1,193506,Last Nite,72,false,spotify:track:7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/tracks/7kzKAuUzOITUauHAhoMoxA
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Echolalia,spotify:album:28GvCEmdROOhpgVYwODp3y,Something For Kate,spotify:artist:47yawJswuSfSvizYhItoOP,1,248093,Three Dimensions,38,false,spotify:track:4x5GLTFPmE89oj4PjhmSKd,https://api.spotify.com/v1/tracks/4x5GLTFPmE89oj4PjhmSKd
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Lateralus,spotify:album:5l5m1hnH4punS1GQXgEi3T,TOOL,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,1,403533,Schism,68,false,spotify:track:55mJleti2WfWEFNFcBduhc,https://api.spotify.com/v1/tracks/55mJleti2WfWEFNFcBduhc
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Gorillaz,spotify:album:4tUxQkrduOE8sfgwJ5BI2F,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,1,210880,19-2000,60,false,spotify:track:71koAFCnGnugRdGIDfS7f4,https://api.spotify.com/v1/tracks/71koAFCnGnugRdGIDfS7f4
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Say What?,spotify:album:3IFySj5lqM6vPxAW3lhnBA,28 Days,spotify:artist:0NXVGrFkPu0Cohh3BJV5Wx,1,214800,Say What?,32,true,spotify:track:4li6V4D5jhiRzv1YA6qEzb,https://api.spotify.com/v1/tracks/4li6V4D5jhiRzv1YA6qEzb
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Rockin' The Suburbs,spotify:album:4FtOLTQqwnxpaABrJWYdBy,Ben Folds,spotify:artist:55tif8708yyDQlSjh3Trdu,1,298533,Rockin' the Suburbs,47,true,spotify:track:3BOQOd4qPpdiwvqMQyh2Yg,https://api.spotify.com/v1/tracks/3BOQOd4qPpdiwvqMQyh2Yg
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Renegades,spotify:album:6iVOwFVjFRoQPgj8GUwSsi,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,1,274160,Renegades Of Funk,66,false,spotify:track:5YBVDvTSSSiqv7KZDeUlXA,https://api.spotify.com/v1/tracks/5YBVDvTSSSiqv7KZDeUlXA
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Polyserena,spotify:album:0fBnUwje0l3wYbUtW9KxXu,George,spotify:artist:5btCRpy3MmqEeGcm6PlOrA,1,226600,Special Ones,31,false,spotify:track:7KIlXAEc49lpKKRQGEhw9N,https://api.spotify.com/v1/tracks/7KIlXAEc49lpKKRQGEhw9N
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Weezer (Green Album),spotify:album:2OBSz5Nlto0Q5CtYPzPY7c,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,1,186533,Hash Pipe,65,false,spotify:track:2mPMFJvQ0v27gVqe5b6nDn,https://api.spotify.com/v1/tracks/2mPMFJvQ0v27gVqe5b6nDn
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Why Try Harder - The Greatest Hits,spotify:album:5vpSQUagobcDEf6IVcmM1m,Fatboy Slim,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,1,219813,Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,54,false,spotify:track:3qs3aHNUcqFGv7jMYJJCYa,https://api.spotify.com/v1/tracks/3qs3aHNUcqFGv7jMYJJCYa
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Why Try Harder - The Greatest Hits,spotify:album:5vpSQUagobcDEf6IVcmM1m,Bootsy Collins,spotify:artist:5K0rbdBrs2tNXe5LeWMATT,1,219813,Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,54,false,spotify:track:3qs3aHNUcqFGv7jMYJJCYa,https://api.spotify.com/v1/tracks/3qs3aHNUcqFGv7jMYJJCYa
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Live From Mars,spotify:album:4Hv68OJ1cJP0g9VlAOWP0s,Ben Harper And The Innocent Criminals,spotify:artist:7sJ9LR0mCMgFlzJ6Y9xP64,2,277306,The Drugs Don't Work - Live,38,false,spotify:track:1uDfA8q8avcbSzjNyB0cq7,https://api.spotify.com/v1/tracks/1uDfA8q8avcbSzjNyB0cq7
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,"Stories From The City, Stories From The Sea",spotify:album:0hBWhJEmVyNPG2Jq71CJXz,PJ Harvey,spotify:artist:12VaqyEhgwDRuFfEqbnrpz,1,235840,This Mess We're In,61,false,spotify:track:3vNFsxBbA4dPkymPF5Jm1b,https://api.spotify.com/v1/tracks/3vNFsxBbA4dPkymPF5Jm1b
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,"Stories From The City, Stories From The Sea",spotify:album:0hBWhJEmVyNPG2Jq71CJXz,Thom Yorke,spotify:artist:4CvTDPKA6W06DRfBnZKrau,1,235840,This Mess We're In,61,false,spotify:track:3vNFsxBbA4dPkymPF5Jm1b,https://api.spotify.com/v1/tracks/3vNFsxBbA4dPkymPF5Jm1b
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,When Young Terrorists Chase The Sun,spotify:album:04eAWxbGtL7apTKBCL0r8q,Gerling,spotify:artist:1EEK8b9H1wAJjFtvCNHUU7,1,253493,Dust Me Selecta,37,false,spotify:track:7CJRbi3iBtdW1Zi0LQQ5Dl,https://api.spotify.com/v1/tracks/7CJRbi3iBtdW1Zi0LQQ5Dl
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Girl,spotify:album:27GnxiHK5pFT3Q19Bs2YSl,Eskimo Joe,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,1,209706,Wake Up,28,false,spotify:track:6bKfA5ijd1EP0FDT1591js,https://api.spotify.com/v1/tracks/6bKfA5ijd1EP0FDT1591js
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,High Times: Singles 1992-2006 (Remastered),spotify:album:6bxhCuuhyD3zQOGZwrBduo,Jamiroquai,spotify:artist:6J7biCazzYhU3gM9j1wfid,1,237920,Little L - Remastered,39,false,spotify:track:6lbtBe0I1wUNUrnmWNoaoS,https://api.spotify.com/v1/tracks/6lbtBe0I1wUNUrnmWNoaoS
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Eduardo And Rodriguez Wage War On T-Wrecks,spotify:album:1G1hUIZdpiAIEAMGybAcnD,Regurgitator,spotify:artist:6n3YUZcayLRuAunJUUelvz,1,199666,Fat Cop,30,false,spotify:track:7nbq7SoVtLdrePEMaLFOCh,https://api.spotify.com/v1/tracks/7nbq7SoVtLdrePEMaLFOCh
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Jebediah,spotify:album:4CnIsOujqNsfq3IIdbsWvQ,Jebediah,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,1,199186,Fall Down,26,false,spotify:track:3cnzdAce7pgYYnyeU3yrY4,https://api.spotify.com/v1/tracks/3cnzdAce7pgYYnyeU3yrY4
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Three,spotify:album:3xwZOyRWoTxdx2w3nKs7a2,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,485586,Take,22,false,spotify:track:7AAxop1U4nG1CsZeWc3UCU,https://api.spotify.com/v1/tracks/7AAxop1U4nG1CsZeWc3UCU
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Paging Mr Strike,spotify:album:0dd2W4esO0mpqMvooJUu7E,Machine Gun Fellatio,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,1,211253,The Girl of My Dreams (Is Giving Me Nightmares),40,false,spotify:track:5KObYGm2eRzWCkpbIlK71d,https://api.spotify.com/v1/tracks/5KObYGm2eRzWCkpbIlK71d
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Girl,spotify:album:27GnxiHK5pFT3Q19Bs2YSl,Eskimo Joe,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,1,200360,Planet Earth,20,false,spotify:track:3ZVk2sQH6fJ5LHBzTXm0nL,https://api.spotify.com/v1/tracks/3ZVk2sQH6fJ5LHBzTXm0nL
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Black Market Music,spotify:album:7gLNPbL9arQdIl4aj4hBcq,Placebo,spotify:artist:6RZUqkomCmb8zCRqc9eznB,1,232306,Special K,56,false,spotify:track:63peVCtLTPd0aM9x5j97sB,https://api.spotify.com/v1/tracks/63peVCtLTPd0aM9x5j97sB
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Pleased To Meet You,spotify:album:31Rh6Ab8xC49fWjFcuyXAK,James,spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh,1,265000,Getting Away With It (All Messed Up),59,false,spotify:track:1oZYaztSjkVQ7PeKwUbdab,https://api.spotify.com/v1/tracks/1oZYaztSjkVQ7PeKwUbdab
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Girl,spotify:album:27GnxiHK5pFT3Q19Bs2YSl,Eskimo Joe,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,1,190826,Who Sold Her Out,24,false,spotify:track:1s0rWRweuhCa8SxR56QAgG,https://api.spotify.com/v1/tracks/1s0rWRweuhCa8SxR56QAgG
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,No Angel,spotify:album:7ydMeYrv8bFFRkkHepoJM4,Dido,spotify:artist:2mpeljBig2IXLXRAFO9AAs,1,218360,Thank You,69,false,spotify:track:3yUcJwYu7fXAfqMj9krY6l,https://api.spotify.com/v1/tracks/3yUcJwYu7fXAfqMj9krY6l
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Amnesiac,spotify:album:6V9YnBmFjWmXCBaUVRCVXP,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,1,288733,Pyramid Song,61,false,spotify:track:3A9vIxzGBjEfqmDK7H9exS,https://api.spotify.com/v1/tracks/3A9vIxzGBjEfqmDK7H9exS
