playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Counting The Beat,spotify:album:5y3FwMHa9D6hLx184MIMJb,The Swingers,spotify:artist:7IwgYVMAMcynxPDNtJjmfg,1,183680,Counting The Beat,52,false,spotify:track:6uA1FgFbQkI6L6BvOOmx3x,https://api.spotify.com/v1/tracks/6uA1FgFbQkI6L6BvOOmx3x
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Stars On 45,spotify:album:4s9UaCKdJ2T0rsKwJJC3aE,Stars On 45,spotify:artist:4r8b3Hr0AMhzhAg75le0Gx,1,286666,Stars On 45 - Original Single Version,44,false,spotify:track:3MJOiicdOtPcXg0uuvM1VL,https://api.spotify.com/v1/tracks/3MJOiicdOtPcXg0uuvM1VL
spotify:playlist:7v5160zeNRgVF9TshKKdrm,The Very Best Of,spotify:album:3MlJ1QPKiWyUqGrlTzk19g,Adam & The Ants,spotify:artist:2DppeCnNtvrLfEobq9Pw5r,1,216400,Antmusic,31,false,spotify:track:1FX9TDiixxhRoYVxevAYiV,https://api.spotify.com/v1/tracks/1FX9TDiixxhRoYVxevAYiV
spotify:playlist:7v5160zeNRgVF9TshKKdrm,The Best Of Roxy Music,spotify:album:6yui99cp2Q3dosoHtiPJk7,Roxy Music,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo,1,297306,Jealous Guy - Remastered,58,false,spotify:track:6EMQo2suHaUYZVsbGVTxSZ,https://api.spotify.com/v1/tracks/6EMQo2suHaUYZVsbGVTxSZ
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Freedom Of Choice (Deluxe Remastered Edition),spotify:album:5oCDYNOxLUuF0NSRBzPXBw,DEVO,spotify:artist:0UKfenbZb15sqhfPC6zbt3,1,165800,Whip It - Live,15,false,spotify:track:2ZmItR4b7w2YssA16TNzpk,https://api.spotify.com/v1/tracks/2ZmItR4b7w2YssA16TNzpk
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Mistaken Identity,spotify:album:3iMwQk5yE0UDDKbLCdcxZA,Kim Carnes,spotify:artist:5PN2aHIvLEM98XIorsPMhE,1,228000,Bette Davis Eyes,72,false,spotify:track:0odIT9B9BvOCnXfS0e4lB5,https://api.spotify.com/v1/tracks/0odIT9B9BvOCnXfS0e4lB5
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Take My Time,spotify:album:7bNpYL4bvBMLRyafghBrCs,Sheena Easton,spotify:artist:5dcOK4stT4JDkP6Dqhbz5s,1,200826,Morning Train (Nine to Five) - Edit,53,false,spotify:track:1qvDt6W8oaTO9Q4pFNMFEm,https://api.spotify.com/v1/tracks/1qvDt6W8oaTO9Q4pFNMFEm
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Back To Front,spotify:album:1ET5QG3pd6NGqEFuZh0Qiz,Lionel Richie,spotify:artist:3gMaNLQm7D9MornNILzdSl,1,266800,Endless Love,72,false,spotify:track:5iwyLsQ5yjnCaRrJGyAPZM,https://api.spotify.com/v1/tracks/5iwyLsQ5yjnCaRrJGyAPZM
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Back To Front,spotify:album:1ET5QG3pd6NGqEFuZh0Qiz,Diana Ross,spotify:artist:3MdG05syQeRYPPcClLaUGl,1,266800,Endless Love,72,false,spotify:track:5iwyLsQ5yjnCaRrJGyAPZM,https://api.spotify.com/v1/tracks/5iwyLsQ5yjnCaRrJGyAPZM
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Business As Usual,spotify:album:4HDJMKkwAMVFewqfZcmf84,Men At Work,spotify:artist:0f3EsoviYnRKTkmayI3cux,1,201293,Who Can It Be Now?,67,false,spotify:track:5rfJ2Bq2PEL8yBjZLzouEu,https://api.spotify.com/v1/tracks/5rfJ2Bq2PEL8yBjZLzouEu
spotify:playlist:7v5160zeNRgVF9TshKKdrm,Kim Wilde,spotify:album:5vf8cU0vjl22ThptA93DDf,Kim Wilde,spotify:artist:73a6pNH4YtLNgDbPQwXveo,1,205533,Kids In America,69,false,spotify:track:1YGZyfvdgZxzipWoWYVKxi,https://api.spotify.com/v1/tracks/1YGZyfvdgZxzipWoWYVKxi
