playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:7wHqh5aKHywCjpe280PHTB,G I R L,spotify:album:2lkQd5T32QHDOfFkEIPJKz,Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,1,232720,"Happy - From ""Despicable Me 2""",10,false,spotify:track:5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/tracks/5b88tNINg4Q4nrRbrCXUmg
spotify:playlist:7wHqh5aKHywCjpe280PHTB,Title (Deluxe),spotify:album:5W98Ab4VvQEuFEE4TIe5fE,Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,1,187920,All About That Bass,71,true,spotify:track:5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/tracks/5jE48hhRu8E6zBDPRSkEq7
spotify:playlist:7wHqh5aKHywCjpe280PHTB,1989,spotify:album:5fy0X0JmZRZnVa2UEicIOl,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,1,219200,Shake It Off,56,false,spotify:track:1kKlhuQE0HXp1IwBRpaH2P,https://api.spotify.com/v1/tracks/1kKlhuQE0HXp1IwBRpaH2P
spotify:playlist:7wHqh5aKHywCjpe280PHTB,Bombs Away,spotify:album:6BfgDdkVUsERG4SZQTbO97,Sheppard,spotify:artist:6VxCmtR7S3yz4vnzsJqhSV,1,218227,Geronimo,56,false,spotify:track:4hd4YTkABCn2zuTZeYEA6D,https://api.spotify.com/v1/tracks/4hd4YTkABCn2zuTZeYEA6D
spotify:playlist:7wHqh5aKHywCjpe280PHTB,Live By The Words,spotify:album:4kc6vrABh87kQ4onFSDPLq,Justice Crew,spotify:artist:07Q9n9pbwR6jQ8xH4SA46b,1,212800,Que Sera,49,false,spotify:track:71CgN6BVkaXFNB5xPnvY9o,https://api.spotify.com/v1/tracks/71CgN6BVkaXFNB5xPnvY9o
spotify:playlist:7wHqh5aKHywCjpe280PHTB,1000 Forms of Fear,spotify:album:2k39lnQqeIwKlYYYfTXe8Y,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,1,216120,Chandelier,58,false,spotify:track:2i8EtsynIudUUaLPUkO6rJ,https://api.spotify.com/v1/tracks/2i8EtsynIudUUaLPUkO6rJ
spotify:playlist:7wHqh5aKHywCjpe280PHTB,x (Deluxe Edition),spotify:album:1xn54DMo2qIqBuMqHtUsFd,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,1,281560,Thinking out Loud,83,false,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f
spotify:playlist:7wHqh5aKHywCjpe280PHTB,In The Lonely Hour,spotify:album:08jWgM4vSkTose4blKBWov,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,1,172723,Stay With Me,82,false,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt
spotify:playlist:7wHqh5aKHywCjpe280PHTB,Freaks (Radio Edit),spotify:album:3UHUPmhyPrnRx6clKjaZNs,Timmy Trumpet,spotify:artist:0CbeG1224FS58EUx4tPevZ,1,168750,Freaks - Radio Edit,58,false,spotify:track:2VJ8G0LeX2hu7RWc4suNhe,https://api.spotify.com/v1/tracks/2VJ8G0LeX2hu7RWc4suNhe
spotify:playlist:7wHqh5aKHywCjpe280PHTB,Freaks (Radio Edit),spotify:album:3UHUPmhyPrnRx6clKjaZNs,Savage,spotify:artist:1GbrJTB56Xs4XQGlmVbaCf,1,168750,Freaks - Radio Edit,58,false,spotify:track:2VJ8G0LeX2hu7RWc4suNhe,https://api.spotify.com/v1/tracks/2VJ8G0LeX2hu7RWc4suNhe
